locations,GPSA_Timestamp,GPSB_Timestamp
T052,09:54:48,09:54:48
T145,09:56:47,09:56:47
T147,09:57:26,09:57:24
T154,10:03:04,10:03:02
T040,10:05:20,10:05:20
T033,10:09:38,10:09:35
T156,10:12:44,10:12:48
T030,10:13:55,10:13:53
T018,10:18:32,10:18:31
T166,10:19:49,10:19:51
T169,10:21:48,10:21:45
T012,10:22:48,10:22:48
T181,10:26:58,10:26:59
T001,10:31:19,10:31:15
T104,10:40:45,10:40:51
T105,10:41:29,10:41:33
T112,10:43:13,10:43:13
T119,10:45:52,10:45:54
T121,10:46:36,10:46:36
T084,10:49:00,10:49:04
