type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name
T,09:46:54,52.35810751,4.952838756,8.2,,,,0,,Cyan,Monday morning B
T,09:47:12,52.35815973,4.95246375,7.6,5.2,11.45,282.8,0.026,26.2,,
T,09:47:22,52.35816442,4.952277755,7.9,4.6,13.14,272.4,0.039,12.68,,
T,09:47:30,52.35820239,4.952180944,7.9,3.5,17.02,302.7,0.047,7.83,,
T,09:47:46,52.35819535,4.952169042,7.1,0.3,236.5,225.9,0.048,1.13,,
T,09:48:03,52.35819804,4.952171305,7.1,0.1,843.24,27.3,0.048,0.34,,
T,09:48:08,52.35823383,4.952165186,7.6,2.9,20.81,354,0.052,4,,
T,09:48:17,52.35833483,4.952119002,7.4,4.7,12.85,344.4,0.064,11.67,,
T,09:48:24,52.35841127,4.952069465,6.6,4.7,12.75,338.4,0.073,9.15,,
T,09:48:33,52.35846274,4.951952873,6.5,3.9,15.32,305.9,0.083,9.79,,
T,09:48:40,52.3584686,4.951871401,6.2,2.9,20.88,276.7,0.088,5.59,,
T,09:48:53,52.35851789,4.951862935,6.3,1.5,39.29,354,0.094,5.51,,
T,09:49:03,52.35857857,4.951949017,5.7,3.2,18.63,40.9,0.103,8.94,,
T,09:49:12,52.35861688,4.95204323,5.5,3.1,19.47,56.3,0.111,7.7,,
T,09:49:14,52.35862065,4.952063682,5.5,2.6,22.91,73.2,0.112,1.46,,
T,09:49:18,52.35864337,4.952114643,5.3,3.9,15.52,53.9,0.116,4.29,,
T,09:49:28,52.35868997,4.952207264,5.4,2.9,20.41,50.5,0.124,8.17,,
T,09:49:37,52.35876759,4.952279013,5.5,4,15.11,29.4,0.134,9.92,,
T,09:49:41,52.3588022,4.952328047,5.3,4.6,13.08,40.9,0.139,5.1,,
T,09:49:54,52.35893053,4.952512365,6,5.3,11.39,41.3,0.159,19.02,,
T,09:50:04,52.35904821,4.952546982,6.5,4.8,12.53,10.2,0.172,13.31,,
T,09:50:14,52.35910848,4.952590987,6.2,2.6,22.69,24,0.179,7.35,,
T,09:50:24,52.35917855,4.95264899,6,3.1,19.07,26.8,0.188,8.74,,
T,09:50:35,52.35924896,4.952655025,6.2,2.6,23.37,3,0.196,7.85,,
T,09:50:46,52.3593156,4.952657623,6.8,2.4,24.72,1.4,0.203,7.42,,
T,09:50:58,52.35940796,4.952651169,5.9,3.1,19.44,357.6,0.213,10.29,,
T,09:51:02,52.35943101,4.952652343,6.1,2.3,25.98,1.8,0.216,2.57,,
T,09:51:12,52.35944803,4.952718392,7,1.8,34.14,67.1,0.221,4.88,,
T,09:51:22,52.35946303,4.952781172,7.1,1.7,36.3,68.6,0.225,4.59,,
T,09:51:31,52.3595181,4.952846719,7.1,3,19.78,36,0.233,7.58,,
T,09:51:34,52.35951844,4.95281118,6.3,2.9,20.65,270.9,0.235,2.42,,
T,09:51:43,52.35954149,4.952707831,6.6,3,20.02,290.1,0.243,7.49,,
T,09:51:53,52.35957057,4.952565003,6.5,3.7,16.25,288.4,0.253,10.25,,
T,09:52:04,52.35964609,4.952488225,6.2,3.2,18.52,328.2,0.263,9.9,,
