locations,GPSA_Timestamp,GPSB_Timestamp,,
T079,13:55:27,13:55:36,,
T141,13:57:25,13:57:20,,
T156,14:02:37,14:02:49,,
T030,14:03:31,14:03:46,,
T022,14:04:02,14:04:03,,
T157,14:04:23,14:04:22,,
T020,14:06:50,14:06:53,,
T161,14:07:47,14:07:51,,
T018,14:08:50,14:08:52,,
T013,14:11:28,14:11:35,,
T175,14:14:13,14:14:18,,
T179,14:15:54,14:15:56,,
T180,14:17:01,14:17:02,,
T182,14:17:30,14:17:41,,
T181,14:18:23,14:18:22,,
T183,14:20:17,14:20:21,,
T089,14:28:16,14:28:16,,
T066,14:32:07,14:32:03,,
T069,14:33:24,14:33:23,,
T075,14:35:05,14:35:05,,
