type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:52:55,52.35828948,4.952101735,0.1,0.2,380.23,222.8,0,0.39,Blue,Monday Afternoon A,
T,13:53:08,52.3582925,4.952093773,0,0.2,339.61,301.8,0,0.64,,,
T,13:53:22,52.35829074,4.952062005,-0.5,0.6,107.37,264.8,0.003,2.17,,,
T,13:53:38,52.35829451,4.952065442,-0.3,0.1,554.87,29.1,0.003,0.48,,,
T,13:53:50,52.35829996,4.95206167,-0.7,0.2,303.74,337.1,0.004,0.66,,,
T,13:53:53,52.35831689,4.952045996,-0.1,2.6,23.09,330.5,0.006,2.17,,,
T,13:54:04,52.35838093,4.951926805,-0.4,3.5,16.97,311.3,0.017,10.8,,,
T,13:54:12,52.35843566,4.951879112,-0.2,3.1,19.32,332,0.024,6.9,,,
T,13:54:18,52.35848059,4.951918507,-0.6,3.4,17.62,28.2,0.029,5.67,,,
T,13:54:21,52.35849861,4.951946251,-0.2,3.3,18.14,43.2,0.032,2.76,,,
T,13:54:31,52.3585769,4.952059658,-0.1,4.2,14.31,41.5,0.044,11.64,,,
T,13:54:40,52.35864588,4.952179771,-1.2,4.5,13.37,46.8,0.055,11.22,,,
T,13:54:48,52.35870933,4.95226535,-0.6,4.1,14.56,39.5,0.064,9.16,,,
T,13:54:57,52.35878184,4.952357383,-0.4,4.1,14.68,37.8,0.074,10.22,,,
T,13:55:00,52.35880857,4.952371381,-0.6,3.7,16,17.7,0.077,3.12,,,
T,13:55:09,52.35891016,4.952434413,-0.1,4.8,12.4,20.8,0.089,12.09,,,
T,13:55:18,52.35900831,4.952434329,-0.8,4.4,13.73,360,0.1,10.92,,,
T,13:55:27,52.35901686,4.95242578,-0.5,0.4,134.47,328.6,0.101,1.12,,,
T,13:55:43,52.35901544,4.952437179,-0.7,0.2,336.43,101.6,0.102,0.79,,,
T,13:55:46,52.35901292,4.952456793,-0.9,1.6,36.62,101.9,0.104,1.37,,,
T,13:55:54,52.3590628,4.952541199,-0.5,3.6,16.68,45.9,0.112,7.99,,,
T,13:56:00,52.35911401,4.952580845,0,3.8,15.86,25.3,0.118,6.31,,,
T,13:56:08,52.35919674,4.952595178,-0.4,4.2,14.4,6,0.127,9.26,,,
T,13:56:15,52.35927662,4.95260071,-0.2,4.6,13.11,2.4,0.136,8.9,,,
T,13:56:23,52.35937351,4.952594675,-0.2,4.9,12.36,357.8,0.147,10.79,,,
T,13:56:33,52.35948994,4.952526782,0.1,5,12.12,340.4,0.161,13.76,,,
T,13:56:41,52.35957158,4.952456374,0,4.6,12.98,332.2,0.171,10.27,,,
T,13:56:51,52.35965012,4.952357886,0.6,4,15.13,322.6,0.182,11.02,,,
T,13:56:53,52.35967015,4.952326789,0.5,5.5,10.84,316.5,0.185,3.08,,,
T,13:57:00,52.35974592,4.952244982,1,5.2,11.54,326.6,0.195,10.11,,,
T,13:57:05,52.35975472,4.952184465,-0.6,3.1,19.67,283.4,0.199,4.24,,,
T,13:57:17,52.35975757,4.952182202,0.1,0.1,567.21,334.1,0.2,0.35,,,
T,13:57:25,52.35976386,4.95219117,-0.1,0.4,143.56,41.1,0.201,0.93,,,
T,13:57:33,52.35980803,4.952137778,-1,2.8,21.8,323.6,0.207,6.11,,,
T,13:57:34,52.35981725,4.952135515,-0.5,3.7,16.06,351.5,0.208,1.04,,,
T,13:57:35,52.35982639,4.952129144,0.3,4,15.08,336.9,0.209,1.11,,,
T,13:57:44,52.35991406,4.952023784,0.5,4.8,12.38,323.7,0.221,12.11,,,
T,13:57:45,52.35992119,4.95200769,0,4.9,12.32,305.9,0.222,1.35,,,
T,13:57:54,52.36000207,4.951907862,0.1,4.5,13.3,323,0.234,11.28,,,
T,13:58:05,52.36011204,4.951797305,0.5,4.7,12.76,328.5,0.248,14.37,,,
T,13:58:13,52.36008304,4.951645425,0.9,4.9,12.3,252.6,0.259,10.84,,,
T,13:58:21,52.36008883,4.951531263,0.5,3.5,17.09,274.7,0.267,7.8,,,
T,13:58:24,52.36012269,4.951525815,1,4.5,13.21,354.4,0.27,3.79,,,
T,13:58:36,52.36025864,4.951557498,0.5,4.6,13.09,8.1,0.286,15.28,,,
T,13:58:49,52.36042268,4.951431854,-0.3,5.6,10.75,334.9,0.306,20.16,,,
T,13:59:03,52.36058554,4.951334791,0.8,5,12.1,340,0.325,19.29,,,
T,13:59:13,52.36069333,4.951364212,0.9,4.4,13.71,9.5,0.337,12.16,,,
T,13:59:22,52.36077581,4.951356165,0.5,3.7,16.31,356.6,0.347,9.19,,,
T,13:59:31,52.36086499,4.951355411,0.3,4,15.11,359.7,0.356,9.92,,,
T,13:59:39,52.36093481,4.951373851,0,3.5,16.94,9.2,0.364,7.87,,,
T,13:59:48,52.36099776,4.951357255,0.6,2.8,21.14,350.9,0.371,7.1,,,
T,13:59:50,52.36101746,4.951350382,0.2,4,14.87,348,0.374,2.24,,,
T,13:59:52,52.36104034,4.951344514,0.4,4.6,12.93,351.1,0.376,2.58,,,
T,14:00:02,52.36112005,4.951357003,0.4,3.2,18.7,5.5,0.385,8.91,,,
T,14:00:09,52.36117403,4.951362451,0.2,3.1,19.39,3.5,0.391,6.02,,,
T,14:00:13,52.36121921,4.951348286,0.8,4.6,13.02,349.2,0.396,5.12,,,
T,14:00:22,52.36130152,4.951288775,0.8,4,14.98,336.2,0.406,10.02,,,
T,14:00:23,52.36130931,4.951281147,0.5,3.6,16.48,329.1,0.407,1.01,,,
T,14:00:31,52.36137084,4.951210236,0.1,3.8,15.91,324.9,0.416,8.38,,,
T,14:00:33,52.3613845,4.951182073,0.6,4.4,13.62,308.5,0.418,2.45,,,
T,14:00:37,52.36140118,4.951120047,0.2,4.2,14.45,293.8,0.423,4.62,,,
T,14:00:46,52.36135298,4.951043604,0.2,3,20.07,224.1,0.43,7.48,,,
T,14:00:57,52.36132474,4.951003287,0,1.4,43.92,221.1,0.434,4.17,,,
T,14:01:05,52.36132306,4.950993983,0.3,0.3,201.81,253.6,0.435,0.66,,,
T,14:01:10,52.36135416,4.951025667,0,2.9,20.43,31.9,0.439,4.08,,,
T,14:01:13,52.36138442,4.951047711,0.2,4.4,13.56,24,0.443,3.69,,,
T,14:01:18,52.36142691,4.951047543,0.4,3.4,17.62,359.9,0.448,4.73,,,
