type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),eos,color,name,desc
T,13:52:51,52.35830843,4.952101652,-3,0.2,248.28,333.3,0,0.94,,Cyan,Monday Afternoon B,
T,13:53:09,52.35831605,4.952091761,-3.1,0.2,276.83,321.6,0.001,1.08,,,,
T,13:53:23,52.35831538,4.952080362,-3.5,0.2,299.07,264.5,0.002,0.78,,,,
T,13:53:38,52.35831069,4.952044235,-3.1,0.6,99.36,258,0.004,2.52,,,,
T,13:53:47,52.35831027,4.952030154,-3.6,0.4,156.17,267.2,0.005,0.96,,,,
T,13:53:53,52.35832552,4.952026131,-3.3,1,58.16,350.9,0.007,1.72,,,,
T,13:54:03,52.35838277,4.951937534,-3.4,3.2,18.99,316.6,0.016,8.78,,,,
T,13:54:12,52.35843432,4.951878861,-3,2.8,21.45,325.2,0.023,6.99,,,,
T,13:54:20,52.35847523,4.951907611,-3.5,2.2,26.91,23.2,0.028,4.96,,,,
T,13:54:25,52.35850926,4.951950191,-3.9,3.4,17.47,37.4,0.033,4.77,,,,
T,13:54:34,52.3585681,4.952063346,-4.2,4,14.83,49.6,0.043,10.11,,,,
T,13:54:37,52.35858721,4.952091342,-4.2,3.4,17.5,41.8,0.046,2.86,,,,
T,13:54:47,52.35865854,4.952201564,-3.9,3.9,15.25,43.3,0.057,10.93,,,,
T,13:54:59,52.35875644,4.952285467,-3.8,3.7,16.26,27.6,0.069,12.3,,,,
T,13:55:01,52.3587877,4.952315055,-3.9,7.2,8.29,30,0.073,4.02,,,,
T,13:55:11,52.35892416,4.952457631,-2.7,6.5,9.25,32.5,0.091,18.03,,,,
T,13:55:14,52.35897169,4.952458385,-3.1,6.3,9.45,0.6,0.096,5.29,,,,
T,13:55:23,52.35901225,4.952445561,-3.9,1.8,32.62,349.1,0.101,4.6,,,,
T,13:55:36,52.35901636,4.952435168,-3,0.2,257.09,302.9,0.102,0.84,,,,
T,13:55:40,52.35900999,4.952439694,-2.8,0.7,86.24,156.5,0.102,0.77,,,,
T,13:55:45,52.35901544,4.952444974,-3.7,0.5,118.21,30.6,0.103,0.7,,,,
T,13:55:50,52.35902055,4.952512365,-3.3,3.3,18.01,82.9,0.108,4.63,,,,
T,13:55:52,52.35903556,4.952538349,-3.6,4.4,13.7,46.6,0.11,2.43,,,,
T,13:56:05,52.35918165,4.9526277,-2.9,4.8,12.48,20.5,0.128,17.36,,,,
T,13:56:15,52.35928131,4.95263692,-2.4,4,15,3.2,0.139,11.11,,,,
T,13:56:25,52.3594057,4.952597106,-2.9,5.1,11.82,348.9,0.153,14.1,,,,
T,13:56:35,52.35950008,4.95251203,-2.6,4.3,13.89,331.2,0.165,12,,,,
T,13:56:44,52.35958298,4.952421421,-2.6,4.4,13.51,326.3,0.176,11.1,,,,
T,13:56:51,52.35963796,4.952357719,-2.3,3.9,15.55,324.7,0.183,7.5,,,,
T,13:56:52,52.35964324,4.952343218,-2.3,4.1,14.5,300.8,0.184,1.15,,,,
T,13:56:57,52.35968591,4.952282449,-2.7,4.5,13.23,319,0.191,6.3,,,,
T,13:57:00,52.3597077,4.952256214,-2.6,3.6,16.6,323.7,0.194,3.01,,,,
T,13:57:08,52.35973167,4.952193266,-3.2,2.3,26.4,301.9,0.199,5.05,,,,
T,13:57:20,52.35973595,4.952204162,-2.5,0.3,226.84,57.3,0.2,0.88,,,,
T,13:57:29,52.35977098,4.952183459,-1.8,1.7,36.18,340.2,0.204,4.15,,,,
T,13:57:36,52.359832,4.952116152,-2.1,4.2,14.24,326,0.212,8.19,,,,
T,13:57:46,52.35992387,4.952006182,-2.1,4.6,13.15,323.8,0.225,12.67,,,,
T,13:57:57,52.36003996,4.951871065,-2.9,5.2,11.56,324.6,0.241,15.86,,,,
T,13:58:05,52.36013015,4.951771991,-2.8,5.4,11.02,326.1,0.253,12.09,,,,
T,13:58:13,52.36010484,4.95160142,-2,5.4,11.15,256.3,0.265,11.96,,,,
T,13:58:20,52.36009402,4.951504273,-2.8,3.5,17.34,259.7,0.271,6.73,,,,
T,13:58:21,52.36010148,4.951512068,-2.4,3.5,16.91,32.5,0.272,0.99,,,,
T,13:58:24,52.36013107,4.951519445,-2.1,4,15.01,8.7,0.276,3.33,,,,
T,13:58:37,52.36027214,4.951551128,-2.8,4.4,13.67,7.8,0.292,15.84,,,,
T,13:58:50,52.36043148,4.951435123,-2.6,5.4,11.16,336,0.311,19.41,,,,
T,13:59:03,52.36058462,4.951347532,-2,5,12,340.7,0.329,18.05,,,,
T,13:59:15,52.36069534,4.951354656,-2.8,3.7,16.22,2.3,0.341,12.33,,,,
T,13:59:26,52.36080632,4.951378209,-3,4.1,14.72,7.4,0.354,12.45,,,,
T,13:59:36,52.36090455,4.951368235,-2.7,3.9,15.22,356.5,0.365,10.95,,,,
T,13:59:44,52.36095677,4.951369492,-2.2,2.6,22.94,0.8,0.371,5.81,,,,
T,13:59:50,52.36099893,4.951349795,-2.4,2.9,20.49,344.1,0.375,4.88,,,,
T,13:59:52,52.36102156,4.951343173,-2.2,4.6,13.03,349.9,0.378,2.56,,,,
T,14:00:02,52.36109993,4.951349627,-2.9,3.1,19.09,2.9,0.387,8.73,,,,
T,14:00:10,52.36117143,4.951375863,-3.2,3.7,16.35,12.6,0.395,8.15,,,,
T,14:00:20,52.36126799,4.951298833,-2.4,4.3,13.94,334,0.407,11.96,,,,
T,14:00:24,52.36130613,4.951269999,-2.4,4.2,14.26,335.2,0.411,4.68,,,,
T,14:00:32,52.36137176,4.951195233,-2.4,4,14.98,325.2,0.42,8.9,,,,
T,14:00:36,52.36139062,4.951133793,-2.6,4.2,14.24,296.7,0.425,4.68,,,,
