locations,GPSA_Timestamp,GPSB_Timestamp,,
T061,09:06:27,09:06:27,,
T145,09:07:47,09:07:47,,
T152,09:10:17,09:10:13,,
T154,09:11:32,09:11:32,,
T040,09:12:34,09:12:33,,
T038,09:13:45,09:13:50,,
T156,09:17:42,09:17:42,,
T030,09:18:55,09:18:55,,
T021,09:21:26,09:21:22,,
T018,09:23:11,09:23:11,,
T207,09:33:13,09:33:13,,
T047,09:36:50,09:36:50,,
T084,09:43:02,09:43:02,,
T089,09:44:52,09:44:52,,
T112,09:48:45,09:48:45,,
T119,09:50:52,09:50:52,,
T136,09:53:33,09:53:33,,
T138,09:56:48,09:56:48,,
T140,09:57:37,09:57:37,,
