type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,09:00:01,52.35809485,4.952400969,17.1,0.4,143.49,242.2,0,1.16,Blue,Tuesday Morning A,
T,09:00:09,52.35809108,4.952401808,17.5,0.2,314.78,172.3,0,0.42,,,
T,09:00:17,52.35809561,4.952376997,17.5,0.8,75.6,286.6,0.002,1.76,,,
T,09:00:29,52.35820172,4.952185387,17.4,5.3,11.36,312.2,0.019,17.6,,,
T,09:00:38,52.35831044,4.952148506,17.4,4.9,12.14,348.3,0.032,12.36,,,
T,09:00:45,52.35833718,4.952104334,17,2.2,27.57,314.7,0.036,4.23,,,
T,09:00:55,52.35836752,4.952023281,16.8,2.3,25.75,301.5,0.043,6.47,,,
T,09:01:11,52.35836693,4.951994447,16.5,0.4,135.68,268.1,0.044,1.97,,,
T,09:01:19,52.3584365,4.9519605,16.3,3.6,16.5,343.4,0.053,8.08,,,
T,09:01:20,52.35845067,4.951954549,16.8,5.9,10.24,345.6,0.054,1.63,,,
T,09:01:30,52.35853122,4.952018084,15.7,3.6,16.74,25.7,0.064,9.95,,,
T,09:01:40,52.35858947,4.952090085,16.4,2.9,20.5,37,0.072,8.13,,,
T,09:01:53,52.35866591,4.952164935,16,2.7,21.85,30.9,0.082,9.92,,,
T,09:01:59,52.35871738,4.952207012,15.7,3.8,15.61,26.5,0.089,6.4,,,
T,09:02:06,52.35880757,4.952259902,15.9,5.5,10.94,19.7,0.099,10.66,,,
T,09:02:16,52.3589369,4.952336093,16.1,5.5,10.89,19.8,0.115,15.3,,,
T,09:02:26,52.35905232,4.952407088,16.3,4.9,12.14,20.6,0.128,13.72,,,
T,09:02:35,52.35912725,4.952493086,16.7,4.1,14.72,35,0.138,10.19,,,
T,09:02:45,52.35917344,4.952569697,16.5,2.6,22.75,45.4,0.146,7.32,,,
T,09:02:58,52.35928953,4.952608673,16.8,3.7,16.43,11.6,0.159,13.19,,,
T,09:03:09,52.35936974,4.952587299,16.4,3,20.27,350.8,0.168,9.04,,,
