type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),eos,color,name,desc
T,09:00:00,52.35808991,4.952394264,4.5,0.3,200.59,141.9,0,0.08,,Cyan,Tuesday Morning B,
T,09:00:01,52.3580905,4.952394934,4.8,0.3,209.16,34.9,0,0.08,,,,
T,09:00:02,52.35809033,4.952395437,5.1,0.1,427.25,118.6,0,0.04,,,,
T,09:00:03,52.35808941,4.952392671,4.2,0.8,77.68,241.4,0.001,0.21,,,,
T,09:00:04,52.35808765,4.952387223,4.5,1.5,39.71,242.1,0.001,0.42,,,,
T,09:00:05,52.35808664,4.952395102,5,2,30.4,101.8,0.001,0.55,,,,
T,09:00:06,52.35808622,4.95239594,4.6,0.3,226.06,129.3,0.002,0.07,,,,
T,09:00:07,52.35808622,4.952395689,4,0.1,972.71,270,0.002,0.02,,,,
T,09:00:08,52.3580853,4.95239594,4.3,0.4,160.23,170.5,0.002,0.1,,,,
T,09:00:09,52.35808463,4.952396946,4.4,0.4,164.52,137.5,0.002,0.1,,,,
T,09:00:10,52.35808362,4.952397617,5.2,0.4,137.86,157.8,0.002,0.12,,,,
T,09:00:11,52.3580827,4.952396443,4.4,0.5,128.14,217.9,0.002,0.13,,,,
T,09:00:12,52.35808035,4.9523977,4.5,1,60.64,161.9,0.002,0.27,,,,
T,09:00:13,52.35807943,4.952396862,4.2,0.4,141.94,209,0.002,0.12,,,,
T,09:00:14,52.35807893,4.952395354,4.6,0.4,142.41,241.4,0.003,0.12,,,,
T,09:00:15,52.35807918,4.952393509,5.1,0.5,129.49,282.6,0.003,0.13,,,,
T,09:00:16,52.35808044,4.952387223,4.5,1.6,36.99,288.1,0.003,0.45,,,,
T,09:00:17,52.3580858,4.952376662,5,3.4,17.83,309.8,0.004,0.93,,,,
T,09:00:18,52.35809335,4.952365933,4.5,4,14.97,319,0.005,1.11,,,,
T,09:00:19,52.35810349,4.952351013,4.5,5.5,10.97,318.1,0.007,1.52,,,,
T,09:00:20,52.35811262,4.952332992,5.2,5.7,10.46,309.7,0.008,1.59,,,,
T,09:00:21,52.35812109,4.95231539,4.9,5.5,10.93,308.2,0.01,1.52,,,,
T,09:00:22,52.35813039,4.952298459,4.6,5.6,10.75,312,0.011,1.55,,,,
T,09:00:23,52.35813995,4.952283036,4.7,5.4,11.15,315.4,0.013,1.49,,,,
T,09:00:24,52.358149,4.952269709,4.7,4.9,12.29,318,0.014,1.36,,,,
T,09:00:25,52.35815948,4.952255879,4.4,5.4,11.12,321.1,0.016,1.5,,,,
T,09:00:26,52.35816954,4.952241965,4.6,5.3,11.36,319.8,0.017,1.47,,,,
T,09:00:27,52.3581796,4.952228637,4.6,5.2,11.56,321,0.019,1.44,,,,
T,09:00:28,52.35818848,4.952217238,4.7,4.5,13.26,321.9,0.02,1.26,,,,
T,09:00:29,52.35820013,4.952210113,4.5,5,12.04,339.5,0.021,1.38,,,,
T,09:00:30,52.35820558,4.952216148,4.5,2.6,22.75,34.1,0.022,0.73,,,,
T,09:00:31,52.358207,4.952227883,4.2,2.9,20.45,78.8,0.023,0.82,,,,
T,09:00:32,52.35821849,4.952227715,4.3,4.6,13.04,359.5,0.024,1.28,,,,
T,09:00:33,52.35822838,4.952232409,4.4,4.1,14.54,16.2,0.025,1.15,,,,
T,09:00:34,52.35823567,4.952238612,4.5,3.3,18.22,27.5,0.026,0.91,,,,
T,09:00:35,52.35824187,4.952243557,4.4,2.8,21.7,26,0.027,0.77,,,,
T,09:00:36,52.35824397,4.952250095,4.3,1.8,33.15,62.3,0.027,0.5,,,,
T,09:00:37,52.35825176,4.95224867,4.4,3.1,19.1,353.6,0.028,0.87,,,,
T,09:00:38,52.35826057,4.952246323,4.3,3.6,16.8,350.7,0.029,0.99,,,,
T,09:00:39,52.3582692,4.952243473,4.3,3.5,17.01,348.6,0.03,0.98,,,,
T,09:00:40,52.35827423,4.952240791,4.3,2.1,28.31,342,0.031,0.59,,,,
T,09:00:41,52.35828135,4.952233415,4.2,3.4,17.76,327.7,0.032,0.94,,,,
T,09:00:42,52.35828512,4.952231487,4.4,1.6,37.9,342.7,0.032,0.44,,,,
T,09:00:43,52.35828647,4.952228637,4.5,0.9,68.06,307.6,0.032,0.24,,,,
T,09:00:44,52.35828973,4.952220256,4.3,2.4,24.62,302.6,0.033,0.68,,,,
T,09:00:45,52.35829191,4.952209443,4.1,2.8,21.49,288.3,0.034,0.78,,,,
T,09:00:46,52.35829376,4.952202151,4,1.9,31.01,292.5,0.034,0.54,,,,
T,09:00:47,52.35829736,4.952196032,3.9,2.1,28.81,314,0.035,0.58,,,,
T,09:00:48,52.35830247,4.952189578,4,2.6,23.18,322.4,0.036,0.72,,,,
T,09:00:49,52.35830616,4.952182621,4,2.3,26.58,311,0.036,0.63,,,,
T,09:00:50,52.35831094,4.952171389,4.2,3.4,17.89,304.9,0.037,0.93,,,,
T,09:00:51,52.35831446,4.952161331,4.1,2.8,21.12,299.8,0.038,0.79,,,,
T,09:00:52,52.35831739,4.952151524,4,2.7,22.41,296.1,0.039,0.74,,,,
T,09:00:53,52.35831949,4.95214792,4.1,1.2,49.22,313.6,0.039,0.34,,,,
T,09:00:54,52.35832385,4.952132497,4.1,4.2,14.4,294.8,0.04,1.16,,,,
T,09:00:55,52.35832888,4.952126965,4,2.4,24.7,326.1,0.041,0.67,,,,
T,09:00:56,52.35833349,4.952120846,4.1,2.4,25.21,321,0.042,0.66,,,,
T,09:00:57,52.35833743,4.95210886,4,3.3,17.98,298.3,0.043,0.93,,,,
T,09:00:58,52.35834095,4.952097544,3.8,3.1,19.27,297,0.043,0.86,,,,
T,09:00:59,52.35834279,4.952088911,4.1,2.2,26.76,289.3,0.044,0.62,,,,
T,09:01:00,52.35834396,4.952083128,3.8,1.5,40.15,288.4,0.045,0.42,,,,
T,09:01:01,52.35834413,4.952076673,4.2,1.6,37.87,272.4,0.045,0.44,,,,
T,09:01:02,52.35834489,4.9520698,4.4,1.7,35.03,280.2,0.045,0.48,,,,
T,09:01:03,52.35834598,4.952063598,4.1,1.6,37.91,286,0.046,0.44,,,,
T,09:01:04,52.3583474,4.952057982,4,1.5,40.24,292.6,0.046,0.41,,,,
T,09:01:05,52.35834874,4.952053372,4,1.3,47.93,295.5,0.047,0.35,,,,
T,09:01:06,52.35834908,4.952050271,4.2,0.8,77.68,280,0.047,0.21,,,,
T,09:01:07,52.35834916,4.95205069,4.5,0.1,554.88,71.9,0.047,0.03,,,,
T,09:01:08,52.35834908,4.952050103,4.8,0.1,406.07,256.8,0.047,0.04,,,,
T,09:01:09,52.35835008,4.952048846,4.7,0.5,118.26,322.6,0.047,0.14,,,,
T,09:01:10,52.35835109,4.952048175,4.7,0.4,137.86,337.8,0.047,0.12,,,,
T,09:01:11,52.35835176,4.952047169,4,0.4,164.53,317.5,0.047,0.1,,,,
T,09:01:12,52.35835226,4.952047421,4.4,0.2,284.78,17,0.047,0.06,,,,
T,09:01:13,52.3583552,4.952046415,4.8,1.2,49.97,348.2,0.048,0.33,,,,
T,09:01:14,52.35835997,4.952047672,4.2,1.9,30.95,9.1,0.048,0.54,,,,
T,09:01:15,52.35836534,4.952051528,4.5,2.3,25.56,23.7,0.049,0.65,,,,
T,09:01:16,52.35837221,4.952046247,4.2,3,19.72,334.9,0.05,0.85,,,,
T,09:01:17,52.3583821,4.95203644,4.6,4.6,12.95,328.8,0.051,1.29,,,,
T,09:01:18,52.35839048,4.952033088,4.8,3.5,17.36,346.3,0.052,0.96,,,,
T,09:01:19,52.35839878,4.952032752,4.5,3.3,18.04,358.6,0.053,0.92,,,,
T,09:01:20,52.35840842,4.952029902,4.3,3.9,15.29,349.8,0.054,1.09,,,,
T,09:01:21,52.35841898,4.952024119,4.6,4.5,13.45,341.5,0.055,1.24,,,,
T,09:01:22,52.35842862,4.952026717,4.4,3.9,15.33,9.3,0.056,1.09,,,,
T,09:01:23,52.35843717,4.952027975,4.6,3.4,17.45,5.1,0.057,0.96,,,,
T,09:01:24,52.35844396,4.952037781,4.2,3.6,16.53,41.4,0.058,1.01,,,,
T,09:01:25,52.3584515,4.95204323,4.2,3.3,18.16,23.8,0.059,0.92,,,,
T,09:01:26,52.35846056,4.952047169,4.3,3.8,15.99,14.9,0.06,1.04,,,,
T,09:01:27,52.3584676,4.952053204,4.3,3.2,18.84,27.6,0.061,0.88,,,,
T,09:01:28,52.35847254,4.952057814,4.4,2.3,26.3,29.7,0.062,0.63,,,,
T,09:01:29,52.35847632,4.952061586,4.4,1.8,33.87,31.4,0.062,0.49,,,,
T,09:01:30,52.35848093,4.952065693,4.2,2.1,28.52,28.6,0.063,0.58,,,,
T,09:01:31,52.35848453,4.952072147,4.6,2.1,28,47.6,0.063,0.6,,,,
T,09:01:32,52.35848788,4.952076841,3.9,1.8,33.92,40.5,0.064,0.49,,,,
