latitude,longitude,name,groupuni
52.358678,4.947706,T001,3a
52.360033,4.94813,T006,2b
52.3610525,4.948158817,T012,1
52.361766,4.948806,T018,1
52.361961,4.949394,T021,2b
52.361134,4.949014,T026,4b
52.360967,4.948796,T028,3a
52.361714,4.949936,T030,1
52.36153144,4.94974874,T031,2b
52.36152,4.95099,T038,4b
52.361316,4.951009,T040,3a
52.360758,4.950999,T047,4b
52.360519,4.951298,T049,3a
52.361052,4.951479,T059,4b
52.360679,4.951471,T061,1
52.359501,4.952678,T073,2b
52.359268,4.952588,T075,1
52.359477,4.950839,T084,3a
52.358883,4.949587,T089,1
52.359362,4.948459,T098,4b
52.358618,4.948512,T099,2b
52.358577,4.949713,T108,2b
52.35841,4.950218,T112,1
52.358571,4.950453,T114,2b
52.358369,4.951124,T119,3a
52.358566,4.952018,T127,4b
52.358727,4.952206,T129,3a
52.358651,4.952512,T136,4b
52.359792,4.952399,T138,2b
52.359825,4.952364,T140,1
52.360735,4.951497,T145,3a
52.361297,4.951345,T152,4b
52.361293,4.951167,T154,3a
52.361613,4.950132,T155,2b
52.361648,4.949988,T156,1
52.361193,4.948267,T169,1
52.359574,4.948138,T184,2b
52.359072,4.948354,T190,4b
52.358971,4.94807,T194,3a
52.359448,4.94936,T207,4b
