locations,GPSA_Timestamp,GPSB_Timestamp
T112,13:47:29,13:47:29
T108,13:49:54,13:49:54
T107,13:50:45,13:50:45
T103,13:52:52,13:52:48
T099,13:53:34,13:53:34
T006,13:59:26,13:59:26
T175,14:00:40,14:00:40
T008,14:01:54,14:01:54
T012,14:03:53,14:03:53
T168,14:04:02,14:04:02
T011,14:04:45,14:04:45
T013,14:05:41,14:05:41
T021,14:08:36,14:08:36
T157,14:09:11,14:09:11
T031,14:09:58,14:09:58
T030,14:10:22,14:10:22
T156,14:11:12,14:11:12
T155,14:12:26,14:12:26
T061,14:20:11,14:20:11
T141,14:21:53,14:21:53
