type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),eos,color,name,desc
T,13:43:55,52.35811967,4.952374734,-1.1,4.5,13.48,280.5,0,1.24,,Cyan,Tuesday Afternoon B,
T,13:43:56,52.35812151,4.952357132,-1.4,4.4,13.7,279.7,0.001,1.22,,,,
T,13:43:57,52.35812201,4.95234062,-1.1,4.1,14.8,272.9,0.002,1.13,,,,
T,13:43:58,52.35812151,4.952327292,-1.5,3.3,18.32,266.5,0.003,0.91,,,,
T,13:43:59,52.3581221,4.952310529,-1.8,4.1,14.57,273.3,0.004,1.14,,,,
T,13:44:00,52.35812235,4.952292508,-1.8,4.4,13.57,271.3,0.006,1.23,,,,
T,13:44:01,52.35812243,4.952275408,-1.7,4.2,14.31,270.5,0.007,1.16,,,,
T,13:44:02,52.35812428,4.952259147,-1.7,4.1,14.79,280.5,0.008,1.13,,,,
T,13:44:03,52.35812595,4.95224339,-1.5,3.9,15.3,279.9,0.009,1.09,,,,
T,13:44:04,52.3581278,4.952227129,-1.8,4.1,14.79,280.5,0.01,1.13,,,,
T,13:44:05,52.35813157,4.952211035,-1.4,4.2,14.2,291,0.011,1.17,,,,
T,13:44:06,52.3581371,4.952196954,-0.9,4.1,14.62,302.8,0.012,1.14,,,,
T,13:44:07,52.35814204,4.952183962,-1.8,3.8,15.99,301.9,0.013,1.04,,,,
T,13:44:08,52.35814825,4.952172982,-0.8,3.7,16.37,312.8,0.014,1.02,,,,
T,13:44:09,52.3581573,4.952166108,-1.6,4,15,335.1,0.016,1.11,,,,
T,13:44:10,52.35816484,4.952160073,-0.7,3.4,17.83,334,0.016,0.93,,,,
T,13:44:11,52.35817339,4.952159235,-1.2,3.4,17.49,356.6,0.017,0.95,,,,
T,13:44:12,52.35818404,4.952156721,-1.7,4.3,13.93,351.8,0.019,1.2,,,,
T,13:44:13,52.35819452,4.952151524,-1.4,4.4,13.68,343.1,0.02,1.22,,,,
T,13:44:14,52.35820633,4.952149177,-1.6,4.8,12.58,353.1,0.021,1.32,,,,
T,13:44:15,52.35821765,4.952145237,-1.8,4.6,12.95,348,0.022,1.29,,,,
T,13:44:16,52.35822813,4.952138029,-1.6,4.6,13.17,337.2,0.024,1.27,,,,
T,13:44:17,52.35823777,4.952128725,-2,4.5,13.38,329.5,0.025,1.25,,,,
T,13:44:18,52.35824782,4.952123025,-1.9,4.3,14.07,340.9,0.026,1.18,,,,
T,13:44:19,52.35825587,4.952121349,-1.7,3.2,18.46,352.7,0.027,0.9,,,,
T,13:44:20,52.35826459,4.952117158,-1.2,3.6,16.48,343.6,0.028,1.01,,,,
T,13:44:21,52.35827196,4.952111626,-1.4,3.3,18.45,335.4,0.029,0.9,,,,
T,13:44:22,52.35827984,4.95210777,-1.2,3.3,18.21,343.4,0.03,0.92,,,,
T,13:44:23,52.35828856,4.952106094,-1.5,3.5,17.06,353.3,0.031,0.98,,,,
T,13:44:24,52.35829317,4.952101568,-1.8,2.2,27.85,329.1,0.031,0.6,,,,
T,13:44:25,52.35829937,4.952096706,-1.6,2.8,21.77,334.4,0.032,0.77,,,,
T,13:44:26,52.35830901,4.952088241,-1.6,4.4,13.69,331.8,0.033,1.22,,,,
T,13:44:27,52.35831639,4.952083714,-1.4,3.2,19.01,339.5,0.034,0.88,,,,
T,13:44:28,52.35832393,4.95207902,-1.1,3.2,18.55,339.2,0.035,0.9,,,,
T,13:44:29,52.3583293,4.952072315,-1.7,2.7,22.17,322.6,0.036,0.75,,,,
T,13:44:30,52.35833768,4.952063598,-1.4,4,15.07,327.6,0.037,1.11,,,,
T,13:44:31,52.35834681,4.952054545,-2,4.3,14.02,328.8,0.038,1.19,,,,
T,13:44:32,52.3583526,4.952050354,-1.3,2.5,23.67,336.1,0.039,0.7,,,,
T,13:44:33,52.3583583,4.95204105,-1,3.2,18.59,315.1,0.04,0.9,,,,
T,13:44:34,52.35836366,4.952028226,-1.2,3.8,15.75,304.4,0.041,1.06,,,,
T,13:44:35,52.35836869,4.952015066,-1.2,3.8,15.77,302,0.042,1.06,,,,
T,13:44:36,52.35837414,4.952002158,-1.2,3.8,15.6,304.6,0.043,1.07,,,,
T,13:44:37,52.35838168,4.951988412,-1.5,4.5,13.25,311.9,0.044,1.26,,,,
T,13:44:38,52.35838805,4.951971062,-1.5,5,12.09,301,0.046,1.38,,,,
T,13:44:39,52.35839258,4.951953376,-1.7,4.7,12.76,292.7,0.047,1.31,,,,
T,13:44:40,52.3583966,4.951940719,-1.2,3.5,17.15,297.5,0.048,0.97,,,,
T,13:44:41,52.35840088,4.951927643,-1.3,3.6,16.5,298.2,0.049,1.01,,,,
