locations,GPSA_Timestamp,GPSB_Timestamp,,,,
T126,08:58:54,08:58:54,,,,
T133,09:00:51,09:00:51,,,,
T132,09:01:40,09:01:40,,,,
T075,09:03:51,09:03:51,,,,
T148,09:08:52,09:08:52,,,,
T056,09:09:47,09:09:47,,,,
T149,09:11:08,09:11:08,,,,
T034,09:14:43,09:14:43,,,,
T156,09:15:39,09:15:39,,,,
T030,09:16:23,09:16:23,,,,
T022,09:17:34,09:17:34,,,,
T018,09:19:39,09:19:39,,,,
T012,09:23:19,09:23:19,,,,
T181,09:27:32,09:27:32,,,,
T183,09:29:26,09:29:26,,,,
T051,09:37:38,09:37:38,,,,
T089,09:41:01,09:41:01,,,,
T105,09:43:29,09:43:29,,,,
T104,09:43:58,09:43:58,,,,
T112,09:45:56,09:45:56,,,,
