type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),eos,color,name,desc
T,08:55:57,52.35818186,4.952246239,11.4,0.2,324.5,182.8,0,0.92,,Blue,Current Track: 14 APR 2021 10:43,
T,08:56:16,52.35818395,4.952262249,11.4,0.2,283.92,77.9,0.001,1.12,,,,
T,08:56:34,52.35817473,4.952271134,11.6,0.2,251.84,149.5,0.002,1.19,,,,
T,08:56:55,52.35817339,4.952279851,11,0.1,571.57,104.1,0.003,0.61,,,,
T,08:57:10,52.35817515,4.95228136,11.8,0.1,1130.2,27.6,0.003,0.22,,,,
T,08:57:24,52.35820307,4.952241545,11.2,1.1,56.59,318.9,0.007,4.12,,,,
T,08:57:25,52.35821145,4.952235008,11,3.7,16.13,334.5,0.008,1.03,,,,
T,08:57:28,52.35823659,4.952219753,11.1,3.6,16.75,339.7,0.011,2.98,,,,
T,08:57:37,52.3582412,4.952208186,10.7,0.4,159.52,303.1,0.012,0.94,,,,
T,08:57:43,52.35823844,4.952200977,10.8,0.3,172.54,237.9,0.013,0.58,,,,
T,08:57:46,52.35826425,4.952178178,10.8,3.9,15.31,331.7,0.016,3.27,,,,
T,08:57:55,52.35833466,4.952093437,10.8,3.9,15.41,323.7,0.026,9.73,,,,
T,08:58:02,52.35836425,4.952026801,10.4,2.9,20.8,306,0.032,5.61,,,,
T,08:58:11,52.35837833,4.952002242,10.3,0.9,65.44,313.2,0.034,2.29,,,,
T,08:58:19,52.35844354,4.951951448,9.9,3.6,16.59,334.6,0.042,8.04,,,,
T,08:58:22,52.35845896,4.951934684,10.4,2.5,24.25,326.4,0.044,2.06,,,,
T,08:58:27,52.3584614,4.951967625,10,1.6,36.87,83.1,0.046,2.26,,,,
T,08:58:35,52.35846391,4.951976007,10.1,0.3,209.67,63.8,0.047,0.64,,,,
T,08:58:54,52.35844002,4.951961422,9.8,0.5,111.59,200.4,0.05,2.84,,,,
T,08:59:05,52.35845209,4.951977683,9.8,0.6,105.3,39.4,0.051,1.74,,,,
T,08:59:17,52.35848562,4.952010289,10.1,1.3,46.06,30.7,0.056,4.34,,,,
T,08:59:27,52.35850984,4.95199671,10.2,1,58.48,341.1,0.059,2.85,,,,
T,08:59:33,52.35854169,4.951997297,10.3,2.1,28.21,0.6,0.062,3.54,,,,
T,08:59:35,52.35855008,4.95201339,10.5,2.6,23.16,49.5,0.064,1.44,,,,
T,08:59:43,52.35859207,4.952059491,10.5,2.5,23.68,33.8,0.069,5.63,,,,
T,08:59:53,52.35862928,4.952094276,10.3,1.7,34.93,29.7,0.074,4.77,,,,
T,09:00:04,52.35866742,4.952158229,10.3,2,30.14,45.7,0.08,6.08,,,,
T,09:00:13,52.35871168,4.952179519,10.4,2.1,29.22,16.4,0.085,5.13,,,,
T,09:00:21,52.35872702,4.952229224,10.2,1.7,35.16,63.2,0.089,3.79,,,,
T,09:00:23,52.35871847,4.952259064,10.1,4,14.85,115.1,0.091,2.24,,,,
T,09:00:28,52.35872584,4.952330142,10.4,3.5,16.97,80.4,0.096,4.91,,,,
T,09:00:32,52.35874973,4.952382613,10.7,4,14.97,53.3,0.101,4.45,,,,
T,09:00:51,52.35878628,4.952468863,10.6,1.4,44.31,55.2,0.108,7.15,,,,
T,09:00:59,52.35876918,4.952433324,10.5,1.4,43.3,231.8,0.111,3.08,,,,
T,09:01:08,52.35879231,4.952403903,10.6,1.3,45.98,322.2,0.114,3.26,,,,
T,09:01:20,52.35880354,4.952379931,10.3,0.6,97.25,307.5,0.116,2.06,,,,
T,09:01:40,52.35881293,4.9523718,11.4,0.2,281.92,332.1,0.117,1.18,,,,
T,09:01:50,52.35879986,4.952350929,11,0.7,81.92,224.3,0.119,2.03,,,,
T,09:02:00,52.35880631,4.952377668,10.1,0.7,85.12,68.4,0.121,1.96,,,,
T,09:02:12,52.35880547,4.952416141,10.6,0.8,76.26,92,0.124,2.62,,,,
T,09:02:21,52.35886674,4.952441873,10.7,2.8,21.31,14.4,0.131,7.04,,,,
T,09:02:28,52.3589074,4.952455536,10.9,2.4,25.26,11.6,0.136,4.62,,,,
T,09:02:31,52.35893447,4.952466181,11.1,3.7,16.14,13.5,0.139,3.1,,,,
T,09:02:43,52.35906523,4.952509012,11.3,4.5,13.48,11.3,0.154,14.84,,,,
T,09:02:51,52.35912206,4.952523177,10.5,2.9,20.84,8.7,0.16,6.4,,,,
T,09:03:02,52.35914695,4.952596603,10.9,1.9,32.06,61,0.166,5.72,,,,
T,09:03:14,52.3591612,4.952645134,11.4,1.1,54.54,64.3,0.169,3.67,,,,
T,09:03:32,52.35919733,4.952671789,10.8,0.9,68.01,24.3,0.174,4.41,,,,
T,09:03:42,52.35921426,4.952683691,11.3,0.7,81.26,23.2,0.176,2.05,,,,
T,09:03:51,52.35921568,4.952653013,10.9,0.8,71.57,274.3,0.178,2.1,,,,
T,09:04:02,52.35923798,4.952635914,10.8,0.9,66.89,334.9,0.181,2.74,,,,
T,09:04:12,52.35927989,4.952623844,10.8,1.7,35.2,350,0.185,4.74,,,,
T,09:04:20,52.35934393,4.952627029,11,3.2,18.7,1.7,0.192,7.13,,,,
T,09:04:31,52.35939841,4.952645637,10.6,2,29.6,11.8,0.199,6.19,,,,
T,09:04:43,52.35942766,4.95263977,10.7,1,60.98,353,0.202,3.28,,,,
T,09:04:52,52.35945465,4.952714369,11.2,2.4,25.41,59.4,0.208,5.9,,,,
T,09:05:04,52.35951534,4.952771366,10.5,2.3,25.68,29.8,0.216,7.79,,,,
T,09:05:13,52.35954249,4.952716716,9.9,1.9,31.28,309.1,0.22,4.8,,,,
T,09:05:28,52.359602,4.952626442,9.6,2.2,27.66,317.2,0.229,9.04,,,,
T,09:05:34,52.35960569,4.95254891,10.9,3.2,18.88,274.5,0.235,5.3,,,,
T,09:05:36,52.35960527,4.952515298,10.4,4.1,14.55,268.8,0.237,2.29,,,,
T,09:05:44,52.3596497,4.952440197,10.4,3.2,18.74,314.1,0.244,7.11,,,,
T,09:05:52,52.35968306,4.952388648,10.7,2.3,26.09,316.7,0.249,5.11,,,,
T,09:06:04,52.35971591,4.952354701,11,1.3,46.23,327.7,0.254,4.33,,,,
T,09:06:15,52.35979085,4.952281527,10.3,3.2,18.87,329.2,0.263,9.71,,,,
T,09:06:22,52.35984592,4.952211287,10.8,4,15.01,322.1,0.271,7.77,,,,
T,09:06:26,52.35989009,4.952174993,10.6,5,12.12,333.4,0.277,5.5,,,,
T,09:06:34,52.35999168,4.952049265,10.8,6.4,9.4,322.9,0.291,14.18,,,,
