type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,08:55:57,52.35815755,4.952241043,25.8,0.2,297.83,180,0,0.06,Cyan,Current Track: 14 APR 2021 09:44,
T,08:55:58,52.35815696,4.952240875,25.8,0.2,251.48,189.9,0,0.07,,,
T,08:55:59,52.35815671,4.952240707,25.9,0.1,551.42,202.1,0,0.03,,,
T,08:56:00,52.35815604,4.952240875,25.8,0.3,220.81,171.3,0,0.08,,,
T,08:56:01,52.35815562,4.95224121,25.5,0.2,320.95,154,0,0.05,,,
T,08:56:02,52.35815562,4.952242216,25.7,0.2,243.23,90,0,0.07,,,
T,08:56:03,52.35815546,4.952243222,25.8,0.3,234.68,105.3,0,0.07,,,
T,08:56:04,52.35815529,4.95224406,25.7,0.2,277.44,108.1,0,0.06,,,
T,08:56:05,52.35815512,4.952245234,25.4,0.3,203.02,103.2,0,0.08,,,
T,08:56:06,52.35815487,4.952245653,25.6,0.1,416.87,134.5,0,0.04,,,
T,08:56:07,52.3581542,4.952244982,25.5,0.3,190.51,211.4,0,0.09,,,
T,08:56:08,52.35815353,4.952243641,25.8,0.4,141.28,230.7,0.001,0.12,,,
T,08:56:09,52.35815303,4.952243976,25.6,0.2,275.74,157.8,0.001,0.06,,,
T,08:56:10,52.35815286,4.952243641,25.7,0.1,565.17,230.7,0.001,0.03,,,
T,08:56:11,52.35815277,4.95224339,25.6,0.1,854.41,241.3,0.001,0.02,,,
T,08:56:12,52.35815303,4.952243054,25.5,0.1,461.36,320.8,0.001,0.04,,,
T,08:56:13,52.35815336,4.952242468,25.4,0.2,304.81,313.1,0.001,0.05,,,
T,08:56:14,52.35815411,4.952241965,25.3,0.3,183.84,337.8,0.001,0.09,,,
T,08:56:15,52.35815596,4.952243138,25.5,0.8,75.68,21.2,0.001,0.22,,,
T,08:56:16,52.35815655,4.952243222,25.4,0.2,254.32,5,0.001,0.07,,,
T,08:56:17,52.35815663,4.952242803,25.3,0.1,554.88,288.1,0.001,0.03,,,
T,08:56:18,52.3581573,4.952242635,25.6,0.3,220.78,351.3,0.001,0.08,,,
T,08:56:19,52.35815805,4.952241797,25.5,0.4,164.17,325.8,0.001,0.1,,,
T,08:56:20,52.35815847,4.952240372,25.6,0.4,154.76,295.7,0.001,0.11,,,
T,08:56:21,52.35815839,4.952240875,25.6,0.1,469.38,105.3,0.001,0.04,,,
T,08:56:22,52.35815864,4.952240875,25.4,0.1,595.55,0,0.001,0.03,,,
T,08:56:23,52.35815831,4.952240959,25.4,0.1,441.57,171.3,0.002,0.04,,,
T,08:56:24,52.35815831,4.952240959,25.4,0,,171.3,0.002,0,,,
T,08:56:25,52.35815822,4.952240707,26.1,0.1,854.64,241.4,0.002,0.02,,,
T,08:56:26,52.35815856,4.952240456,25.5,0.1,406.04,335.4,0.002,0.04,,,
T,08:56:27,52.35815956,4.952239953,25.3,0.4,142.38,343,0.002,0.12,,,
T,08:56:28,52.35815931,4.952240204,25.2,0.1,507.97,148.6,0.002,0.03,,,
T,08:56:29,52.3581578,4.952240707,25.2,0.6,97.27,168.5,0.002,0.17,,,
T,08:56:30,52.35815738,4.952241545,25.5,0.3,226.07,129.3,0.002,0.07,,,
T,08:56:31,52.35815738,4.9522423,25.1,0.2,324.28,90,0.002,0.05,,,
T,08:56:32,52.35815755,4.952242384,25.1,0.1,854.53,17,0.002,0.02,,,
T,08:56:33,52.35815772,4.952242049,25.5,0.1,565.14,309.3,0.002,0.03,,,
T,08:56:34,52.35815738,4.952242384,25,0.2,381,148.6,0.002,0.04,,,
T,08:56:35,52.35815738,4.952242468,25.6,0,2915.8,90,0.002,0.01,,,
T,08:56:36,52.35815755,4.952242719,25,0.1,658.21,42.5,0.002,0.03,,,
T,08:56:37,52.3581578,4.952242803,25.6,0.1,583.53,11.5,0.002,0.03,,,
T,08:56:38,52.35815814,4.952242803,25.6,0.1,446.84,0,0.002,0.04,,,
T,08:56:39,52.35815864,4.952242887,25.4,0.2,296.24,5.8,0.002,0.06,,,
T,08:56:40,52.35815923,4.952242803,24.8,0.2,254.32,355,0.002,0.07,,,
T,08:56:41,52.3581599,4.952242635,25.4,0.3,220.81,351.3,0.002,0.08,,,
T,08:56:42,52.35816057,4.952242803,25.6,0.3,220.78,8.7,0.002,0.08,,,
T,08:56:43,52.35816099,4.952243138,25.7,0.2,320.95,26,0.003,0.05,,,
T,08:56:44,52.3581609,4.952242384,25.6,0.2,319.07,259.7,0.003,0.05,,,
T,08:56:45,52.35816132,4.952242049,25.4,0.2,320.97,334,0.003,0.05,,,
T,08:56:46,52.35816124,4.952242132,24.7,0,1524.34,148.6,0.003,0.01,,,
T,08:56:47,52.35816107,4.952241629,25.5,0.1,427.2,241.4,0.003,0.04,,,
T,08:56:48,52.35816191,4.952242049,25.2,0.4,170.87,17,0.003,0.1,,,
T,08:56:49,52.35816333,4.952242132,25.4,0.6,105.05,2.1,0.003,0.16,,,
T,08:56:50,52.35816359,4.952242551,25,0.1,416.87,45.5,0.003,0.04,,,
T,08:56:51,52.35816325,4.952242216,24.9,0.2,380.97,211.4,0.003,0.04,,,
T,08:56:52,52.35816292,4.952243473,25,0.3,178.38,113.6,0.003,0.09,,,
T,08:56:53,52.35816183,4.952244144,25.2,0.5,128.64,159.4,0.003,0.13,,,
T,08:56:54,52.35816308,4.952241545,24.6,0.8,73.87,308.4,0.003,0.23,,,
T,08:56:55,52.35816618,4.952238696,24.9,1.4,42.09,330.7,0.004,0.4,,,
T,08:56:56,52.35816526,4.952239199,25.3,0.4,154.09,161.6,0.004,0.11,,,
T,08:56:57,52.3581661,4.952238109,24.6,0.4,139.82,321.6,0.004,0.12,,,
T,08:56:58,52.35816644,4.952238528,25,0.2,354.81,37.4,0.004,0.05,,,
T,08:56:59,52.35816618,4.952240791,25.1,0.6,106.36,100.3,0.004,0.16,,,
T,08:57:00,52.3581661,4.952241713,25.1,0.2,262.46,98.5,0.004,0.06,,,
T,08:57:01,52.35816644,4.95224121,25,0.2,329.08,317.5,0.004,0.05,,,
T,08:57:02,52.35816677,4.952241126,25,0.1,441.55,351.3,0.004,0.04,,,
T,08:57:03,52.35816593,4.952242803,25.2,0.5,113.03,129.3,0.005,0.15,,,
T,08:57:04,52.35816518,4.952244898,25.4,0.6,100.64,120.5,0.005,0.17,,,
T,08:57:05,52.35816493,4.952246659,25.2,0.4,135.35,103.2,0.005,0.12,,,
T,08:57:06,52.35816493,4.95224691,25.1,0.1,972.71,90,0.005,0.02,,,
T,08:57:07,52.35816493,4.952247413,25,0.1,486.45,90,0.005,0.03,,,
T,08:57:08,52.35816459,4.952248083,25.1,0.2,282.58,129.3,0.005,0.06,,,
T,08:57:09,52.35816359,4.952249424,24.9,0.5,115.36,140.8,0.005,0.14,,,
T,08:57:10,52.35816233,4.95225085,25.2,0.6,97.87,145.3,0.005,0.17,,,
T,08:57:11,52.35816308,4.952249341,24.8,0.5,125.58,309.3,0.005,0.13,,,
T,08:57:12,52.35816325,4.952250766,24.9,0.4,168.6,79.1,0.006,0.1,,,
T,08:57:13,52.3581635,4.952250766,24.9,0.1,595.55,0,0.006,0.03,,,
T,08:57:14,52.35816292,4.952252107,24.8,0.4,148.41,125.6,0.006,0.11,,,
T,08:57:15,52.3581625,4.952252526,25,0.2,304.79,148.6,0.006,0.05,,,
T,08:57:16,52.35816225,4.952252694,25,0.1,551.56,157.8,0.006,0.03,,,
T,08:57:17,52.35816183,4.952253029,25.1,0.2,320.95,154,0.006,0.05,,,
T,08:57:18,52.35816124,4.952253364,24.9,0.2,240.98,160.8,0.006,0.07,,,
T,08:57:19,52.35816082,4.952250766,25,0.7,91.04,255.2,0.006,0.18,,,
T,08:57:20,52.35815898,4.952252442,24.8,0.8,70.97,151,0.006,0.23,,,
T,08:57:21,52.35815889,4.95225043,25.1,0.5,121.33,266.1,0.006,0.14,,,
T,08:57:22,52.35815571,4.952248,25.1,1.4,42.6,205,0.007,0.39,,,
T,08:57:23,52.35815336,4.952239199,24.6,2.4,25.48,246.4,0.007,0.65,,,
T,08:57:24,52.35815797,4.952229895,25,2.9,20.44,309.1,0.008,0.82,,,
T,08:57:25,52.35816476,4.952217909,25,4,14.98,312.8,0.009,1.11,,,
T,08:57:26,52.35817281,4.952211455,24.5,3.6,16.71,333.9,0.01,1,,,
T,08:57:27,52.35818152,4.95220324,25.2,4,14.88,330.1,0.012,1.12,,,
T,08:57:28,52.35818882,4.952201145,24.7,3,20.23,350,0.012,0.82,,,
T,08:57:29,52.35820038,4.952199049,24.8,4.7,12.87,353.7,0.014,1.3,,,
T,08:57:30,52.35820843,4.952196535,25,3.3,18.28,349.2,0.015,0.91,,,
T,08:57:31,52.35821145,4.952193769,24.5,1.4,43.29,330.8,0.015,0.39,,,
T,08:57:32,52.35821421,4.952193182,24.2,1.1,53.7,352.6,0.015,0.31,,,
T,08:57:33,52.35821572,4.952193014,24.4,0.6,99.05,356.1,0.015,0.17,,,
T,08:57:34,52.35821622,4.952195529,24.6,0.6,92.48,71.9,0.016,0.18,,,
T,08:57:35,52.35821639,4.952195277,24,0.1,657.88,317.5,0.016,0.03,,,
T,08:57:36,52.3582169,4.952199385,24.3,1,58.41,78.7,0.016,0.29,,,
T,08:57:37,52.3582179,4.952199301,24.1,0.4,148.72,357.1,0.016,0.11,,,
T,08:57:38,52.35821798,4.952199468,24.4,0.1,1130.55,50.7,0.016,0.01,,,
T,08:57:39,52.35821798,4.952199301,24.3,0,1459.64,270,0.016,0.01,,,
T,08:57:40,52.3582184,4.95219796,24.1,0.4,162.46,297.1,0.016,0.1,,,
T,08:57:41,52.35821832,4.952195613,24,0.6,104.06,266.7,0.016,0.16,,,
T,08:57:42,52.35821849,4.952194104,23.9,0.4,159.54,280.3,0.016,0.1,,,
T,08:57:43,52.35822192,4.952191589,23.7,1.5,39.78,335.9,0.017,0.42,,,
T,08:57:44,52.3582288,4.952186309,24.4,3,19.72,334.9,0.018,0.85,,,
T,08:57:45,52.35824062,4.952179603,24.2,5,11.97,340.9,0.019,1.39,,,
T,08:57:46,52.35825218,4.952172814,24.2,4.9,12.19,340.3,0.02,1.37,,,
T,08:57:47,52.35826132,4.952163426,24.6,4.3,13.88,327.9,0.022,1.2,,,
T,08:57:48,52.35827188,4.952152278,24.7,5,11.91,327.2,0.023,1.4,,,
T,08:57:49,52.35828303,4.952144232,24,4.9,12.29,336.2,0.024,1.36,,,
T,08:57:50,52.35829476,4.952133084,24.3,5.4,11.03,329.9,0.026,1.51,,,
T,08:57:51,52.35830482,4.952122858,24.1,4.7,12.64,328.2,0.027,1.32,,,
T,08:57:52,52.35831505,4.952112548,24.2,4.8,12.46,328.4,0.029,1.34,,,
T,08:57:53,52.35832427,4.952101484,24.2,4.6,13.09,323.8,0.03,1.27,,,
