locations,GPSA_Timestamp,GPSB_Timestamp,
T115,15:05:30,15:05:30,
T112,15:06:03,15:06:03,
T111,15:06:52,15:06:52,
T109,15:08:11,15:08:11,
T089,15:09:21,15:09:21,
T106,15:10:38,15:10:38,
T105,15:11:18,15:11:18,
T104,15:11:44,15:11:44,
T100,15:12:55,15:12:55,
T178,15:16:52,15:16:52,
T176,15:17:18,15:17:18,
T007,15:18:11,15:18:11,
T177,15:18:43,15:18:43,
T010,15:20:23,15:20:23,
T012,15:22:16,15:22:16,
T169,15:22:42,15:22:42,
T018,15:25:01,15:25:01,
T163,15:25:29,15:25:29,
T024,15:28:49,15:28:49,
T022,15:29:54,15:29:48,
