type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,15:02:56,52.35846777,4.951864611,-8.5,4,15.17,284.8,0,1.1,Blue,Current Track: 14 APR 2021 16:27,
T,15:03:04,52.35846936,4.951727567,-8.9,4.2,14.28,271.1,0.009,9.34,,,
T,15:03:12,52.3584567,4.951600162,-8.3,4,15.16,260.8,0.018,8.79,,,
T,15:03:20,52.35844019,4.951479463,-9.3,3.8,15.82,257.4,0.027,8.43,,,
T,15:03:27,52.35843608,4.951321464,-8.2,5.5,10.83,267.6,0.037,10.77,,,
T,15:03:37,52.35845754,4.951127842,-8.2,4.8,12.43,280.3,0.051,13.41,,,
T,15:03:46,52.35845838,4.951007981,-7.9,3.3,18.37,270.7,0.059,8.17,,,
T,15:03:59,52.35847648,4.950964144,-7.7,1,60.14,304.1,0.063,3.6,,,
T,15:04:14,52.35847447,4.950954253,-7.6,0.2,352.1,251.6,0.063,0.71,,,
T,15:04:20,52.3584733,4.950906644,-7.8,1.9,30.81,267.7,0.066,3.25,,,
T,15:04:31,52.35846802,4.950711178,-7.8,4.4,13.75,267.5,0.08,13.33,,,
T,15:04:41,52.35846508,4.950541696,-7.9,4.2,14.43,268.4,0.091,11.55,,,
T,15:04:51,52.35844874,4.950406998,-7.4,3.4,17.82,258.8,0.101,9.36,,,
T,15:04:58,52.35844061,4.950389061,-7.4,0.8,76.73,233.4,0.102,1.52,,,
T,15:05:07,52.3584422,4.950362826,-7.6,0.7,83.51,275.7,0.104,1.8,,,
T,15:05:14,52.35845176,4.950361988,-7,0.5,109.57,356.9,0.105,1.06,,,
T,15:05:22,52.35845259,4.950341201,-7.1,0.6,93.95,273.8,0.107,1.42,,,
T,15:05:30,52.35844178,4.950318066,-7.5,0.9,67.24,232.6,0.109,1.98,,,
T,15:05:38,52.35844589,4.95030717,-7.4,0.4,152.95,301.7,0.109,0.87,,,
T,15:05:45,52.35845008,4.950239276,-7.1,2.4,25.1,275.8,0.114,4.65,,,
T,15:05:52,52.35843801,4.95022486,-7.4,0.9,70.12,216.1,0.116,1.66,,,
T,15:06:03,52.35844136,4.95020885,-7.4,0.4,159.04,288.9,0.117,1.15,,,
T,15:06:10,52.35845134,4.950216059,-7.2,0.6,96.13,23.8,0.118,1.21,,,
T,15:06:17,52.35846198,4.950213712,-7.3,0.6,97.61,352.3,0.119,1.2,,,
T,15:06:23,52.35848051,4.950179011,-7.3,1.9,31.88,311.2,0.122,3.14,,,
T,15:06:26,52.35849182,4.950165097,-7.5,1.9,31.72,323.1,0.124,1.58,,,
T,15:06:34,52.35852309,4.950155625,-7.7,1.6,37.68,349.5,0.128,3.54,,,
T,15:06:44,52.35851135,4.950097119,-7.4,1.5,39.74,251.8,0.132,4.19,,,
T,15:06:52,52.35849878,4.950094605,-7.1,0.6,94.6,187,0.133,1.41,,,
T,15:07:03,52.35852057,4.950071219,-7.2,0.9,63.19,326.8,0.136,2.9,,,
T,15:07:11,52.3585406,4.95002755,-7.2,1.7,35.87,306.9,0.14,3.72,,,
T,15:07:19,52.3585598,4.949979354,-6.9,1.8,34.04,303.1,0.144,3.92,,,
T,15:07:28,52.35858897,4.94993954,-6.8,1.7,35.46,320.2,0.148,4.23,,,
T,15:07:37,52.35862627,4.949863935,-6.7,2.6,22.68,308.9,0.155,6.61,,,
T,15:07:46,52.3586629,4.949820349,-6.8,2,29.75,324,0.16,5.04,,,
T,15:07:54,52.35867715,4.949792773,-6.7,1.1,54.24,310.2,0.162,2.46,,,
T,15:08:01,52.35867706,4.94978087,-6.6,0.4,143.87,269.3,0.163,0.81,,,
T,15:08:11,52.35870497,4.949773997,-6.8,1.1,53.06,351.4,0.166,3.14,,,
T,15:08:23,52.35871738,4.949760418,-6.9,0.5,120.36,326.2,0.168,1.66,,,
T,15:08:32,52.35874345,4.94973544,-6.9,1.3,44.6,329.7,0.171,3.36,,,
T,15:08:42,52.35885543,4.949631253,-7.2,5.2,11.62,330.4,0.185,14.34,,,
T,15:08:51,52.35886943,4.949639551,-7,0.7,90.52,19.9,0.187,1.66,,,
T,15:09:05,52.35888661,4.949636282,-6.6,0.5,121.22,353.4,0.189,1.92,,,
T,15:09:14,52.3589022,4.949593032,-6.9,1.4,43.87,300.6,0.192,3.42,,,
T,15:09:21,52.35886498,4.94956336,-6.9,2.4,25.32,206,0.197,4.61,,,
T,15:09:28,52.35886004,4.949543495,-6.6,0.8,79.86,247.8,0.198,1.46,,,
T,15:09:36,52.35886146,4.949528156,-6.6,0.5,126.15,278.6,0.199,1.06,,,
T,15:09:44,52.35884923,4.949549614,-6.6,0.9,66.74,133,0.201,2,,,
T,15:09:51,52.35883053,4.949602084,-6.2,2.1,28.21,120.3,0.206,4.14,,,
T,15:09:54,52.35882081,4.949606611,-6.4,1.4,44.44,164.1,0.207,1.13,,,
