type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),eos,color,name,desc
T,15:03:00,52.3584588,4.951742152,-2.2,4.4,13.74,257.1,0,1.21,,Cyan,Current Track: 14 APR 2021 15:28,
T,15:03:01,52.35845771,4.951724717,-2.6,4.3,13.96,264.2,0.001,1.19,,,,
T,15:03:02,52.35845762,4.951708205,-1.6,4,14.81,269.5,0.002,1.12,,,,
T,15:03:03,52.35845712,4.951691357,-2,4.1,14.5,267.2,0.004,1.15,,,,
T,15:03:04,52.35845553,4.951677779,-2.1,3.4,17.69,259.1,0.005,0.94,,,,
T,15:03:05,52.35845301,4.951664871,-2.1,3.3,18.06,252.3,0.005,0.92,,,,
T,15:03:06,52.35844815,4.951652382,-2.3,3.6,16.53,237.5,0.006,1.01,,,,
T,15:03:07,52.35844337,4.951640563,-2,3.5,17.27,236.5,0.007,0.96,,,,
T,15:03:08,52.35844036,4.951625476,-2.1,3.9,15.41,251.9,0.009,1.08,,,,
T,15:03:09,52.35843876,4.95160846,-2.1,4.2,14.21,261.3,0.01,1.17,,,,
T,15:03:10,52.35843608,4.951597229,-1.8,3,20.29,248.6,0.011,0.82,,,,
T,15:03:11,52.35843256,4.951581974,-1.7,4,15.01,249.3,0.012,1.11,,,,
T,15:03:12,52.3584308,4.951568646,-1.8,3.3,17.94,257.8,0.013,0.93,,,,
T,15:03:13,52.35843122,4.951555403,-1.8,3.3,18.45,273,0.013,0.9,,,,
T,15:03:14,52.35843055,4.951537466,-1.8,4.4,13.61,266.5,0.015,1.22,,,,
T,15:03:15,52.35842804,4.951519696,-2.3,4.5,13.41,257,0.016,1.24,,,,
T,15:03:16,52.35842778,4.951497736,-2.1,5.4,11.14,268.9,0.017,1.5,,,,
T,15:03:17,52.35842602,4.951480301,-2.1,4.3,13.84,260.6,0.019,1.2,,,,
T,15:03:18,52.35842393,4.951464711,-2,3.9,15.33,257.6,0.02,1.09,,,,
T,15:03:19,52.35842099,4.95144493,-2.2,5,12.02,256.4,0.021,1.39,,,,
T,15:03:20,52.35841664,4.951428669,-2.2,4.4,13.78,246.3,0.022,1.21,,,,
T,15:03:21,52.3584137,4.951408636,-2.4,5.1,11.88,256.5,0.024,1.4,,,,
T,15:03:22,52.35841027,4.951389441,-1.8,4.9,12.23,253.7,0.025,1.36,,,,
T,15:03:23,52.35840834,4.951368235,-2.1,5.3,11.41,261.5,0.027,1.46,,,,
T,15:03:24,52.35840817,4.951342754,-2.1,6.2,9.6,269.4,0.028,1.74,,,,
