type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,09:04:31,52.35851303,4.952012384,5.5,0,3539.11,127.6,0,0.12,Blue,Current Track: 15 APR 2021 10:20,
T,09:04:48,52.35851135,4.95199847,5.5,0.2,293.27,258.8,0.001,0.97,,,
T,09:04:58,52.35852216,4.951990256,5.7,0.5,125.6,335.1,0.003,1.33,,,
T,09:05:02,52.35856902,4.952022107,6,5.1,11.81,22.5,0.008,5.65,,,
T,09:05:08,52.35860204,4.952025041,5.9,2.2,27.17,3.1,0.012,3.68,,,
T,09:05:22,52.35861872,4.952067705,5.6,0.9,67.66,57.4,0.015,3.45,,,
T,09:05:33,52.35862082,4.952079104,5.7,0.3,226.1,73.2,0.016,0.81,,,
T,09:05:41,52.35861302,4.952126127,5,1.5,40.17,105.2,0.02,3.32,,,
T,09:05:50,52.35861336,4.952129228,5.2,0.1,699.13,80,0.02,0.21,,,
T,09:06:03,52.35862727,4.952128222,5.5,0.4,139.8,357.5,0.021,1.55,,,
T,09:06:14,52.35863465,4.952150518,5.3,0.6,106.19,61.6,0.023,1.73,,,
T,09:06:23,52.35864027,4.952200223,5.9,1.4,43.56,79.5,0.026,3.44,,,
T,09:06:33,52.35866826,4.952225368,5.4,1.3,46.88,28.7,0.03,3.56,,,
T,09:06:42,52.3587038,4.952297285,5.3,2.5,23.82,51,0.036,6.3,,,
T,09:06:45,52.35872266,4.952325867,6.1,3.4,17.47,42.8,0.039,2.86,,,
T,09:06:50,52.35876055,4.95238102,5.4,4.1,14.76,41.6,0.045,5.65,,,
T,09:06:56,52.35879801,4.952385044,4.3,2.5,23.93,3.8,0.049,4.18,,,
T,09:07:12,52.35884093,4.95246199,4.4,1.6,37.61,47.6,0.056,7.09,,,
T,09:07:22,52.35886381,4.952489398,5.5,1.1,52.78,36.2,0.059,3.16,,,
T,09:07:31,52.35889684,4.952553436,5.7,2.3,26.3,49.8,0.065,5.7,,,
T,09:07:38,52.35894763,4.952563411,5.8,2.9,20.49,6.8,0.071,5.69,,,
T,09:07:46,52.35900815,4.952581264,5.7,3.1,19.48,10.2,0.077,6.84,,,
T,09:07:53,52.35905844,4.952592663,6.6,2.9,20.65,7.9,0.083,5.65,,,
T,09:08:02,52.35910026,4.952640273,6,2.3,26.44,34.8,0.089,5.67,,,
T,09:08:14,52.35913388,4.952630801,6.2,1.1,52.7,350.2,0.093,3.8,,,
T,09:08:33,52.35916413,4.952664496,5.7,0.8,77.71,34.2,0.097,4.08,,,
T,09:08:43,52.35919138,4.952659467,5.3,1.1,54.64,353.6,0.1,3.05,,,
T,09:08:53,52.35919448,4.952670615,6.3,0.3,199.79,65.5,0.101,0.83,,,
T,09:09:05,52.35922121,4.952673633,6.1,0.9,67.06,3.9,0.104,2.98,,,
T,09:09:12,52.35926732,4.952674219,6.2,2.6,22.74,0.4,0.109,5.13,,,
T,09:09:21,52.35934988,4.95266743,6.5,3.7,16.31,357.1,0.118,9.2,,,
T,09:09:27,52.35938416,4.952677321,5.7,2.3,25.81,10,0.122,3.87,,,
T,09:09:36,52.35938123,4.95276642,6.2,2.4,24.68,93.1,0.128,6.08,,,
T,09:09:48,52.35937913,4.952717386,6.5,1,59.73,266,0.131,3.35,,,
T,09:10:07,52.35937871,4.952707076,6.8,0.1,449.86,266.2,0.132,0.7,,,
T,09:10:18,52.35938223,4.952724008,5.9,0.4,150.5,71.2,0.133,1.22,,,
T,09:10:27,52.35939749,4.952712441,6.8,0.7,80.15,335.2,0.135,1.87,,,
T,09:10:37,52.35940344,4.95270188,6.4,0.4,170.44,312.7,0.136,0.98,,,
T,09:10:45,52.35941467,4.952650247,6.9,1.7,35.72,289.6,0.14,3.73,,,
T,09:10:47,52.35942766,4.95263122,6.2,3.5,17.17,318.2,0.142,1.94,,,
T,09:10:56,52.35951584,4.952588137,5.6,4.1,14.65,343.4,0.152,10.24,,,
T,09:11:04,52.35958985,4.952533152,6.5,4.1,14.74,335.6,0.161,9.05,,,
T,09:11:13,52.35966931,4.952472048,6.1,3.9,15.35,334.8,0.171,9.77,,,
T,09:11:17,52.35968054,4.952464923,6,1.2,49.72,338.8,0.172,1.34,,,
T,09:11:25,52.35970846,4.952504402,6,1.8,32.45,40.8,0.176,4.11,,,
T,09:11:35,52.35973905,4.952514293,6.4,1.2,48.03,11.2,0.18,3.47,,,
T,09:11:47,52.35976109,4.952511359,5.2,0.7,81.26,355.4,0.182,2.46,,,
T,09:11:51,52.35976134,4.952514628,6.8,0.2,297.02,82.8,0.182,0.22,,,
T,09:12:01,52.35977199,4.952517981,6.2,0.4,138.16,10.9,0.183,1.21,,,
T,09:12:11,52.35975774,4.952512449,6.3,0.6,102.27,193.3,0.185,1.63,,,
T,09:12:18,52.35975028,4.952508844,5.8,0.4,134.77,196.4,0.186,0.87,,,
T,09:12:20,52.35974668,4.952530134,7,2.7,22.15,105.5,0.187,1.5,,,
T,09:12:28,52.35979764,4.952464085,5.9,3.3,18.42,321.6,0.195,7.24,,,
T,09:12:37,52.35979747,4.952440448,5.9,0.6,93.14,269.3,0.196,1.61,,,
T,09:12:54,52.35979261,4.952419745,6,0.3,187.56,249,0.198,1.51,,,
T,09:13:03,52.35979102,4.952417649,5.6,0.1,659.16,218.8,0.198,0.23,,,
T,09:13:12,52.35978339,4.952415721,5.7,0.3,174.65,188.8,0.199,0.86,,,
T,09:13:14,52.35977585,4.952397784,6.1,2.7,22.48,235.4,0.2,1.48,,,
T,09:13:21,52.35977048,4.952303488,6,3.3,18.08,264.7,0.207,6.45,,,
T,09:13:31,52.3598082,4.952219501,5.8,2.6,23.49,306.3,0.214,7.1,,,
T,09:13:36,52.35983913,4.952179268,6.5,3.2,18.94,321.5,0.218,4.4,,,
T,09:13:40,52.35987551,4.952150267,6.3,4.1,14.8,334,0.223,4.5,,,
T,09:13:48,52.35995555,4.952086061,6.4,4.5,13.44,333.9,0.233,9.92,,,
T,09:13:56,52.36006117,4.951978941,6.4,6.2,9.64,328.2,0.247,13.83,,,
T,09:14:08,52.36019452,4.951789761,6.8,5.9,10.18,319.1,0.266,19.65,,,
T,09:14:18,52.36027918,4.951648694,6.2,4.8,12.38,314.5,0.28,13.46,,,
T,09:14:31,52.36042075,4.951497232,6.8,5.2,11.51,326.8,0.299,18.83,,,
T,09:14:42,52.36053525,4.951448534,7.3,4.3,13.93,345.4,0.312,13.17,,,
T,09:14:52,52.36060674,4.951431435,6.9,2.9,20.73,351.7,0.32,8.04,,,
T,09:14:58,52.36060264,4.951446773,6.5,0.7,87.68,113.7,0.321,1.14,,,
T,09:15:06,52.36058084,4.951465968,6.4,1.2,48.4,151.7,0.324,2.76,,,
T,09:15:18,52.36057984,4.951453563,6.4,0.3,234.61,262.4,0.325,0.85,,,
T,09:15:29,52.36057707,4.951444762,6.3,0.2,272.03,242.8,0.325,0.67,,,
T,09:15:38,52.36057657,4.951435961,6.3,0.2,249.1,264.7,0.326,0.6,,,
T,09:15:47,52.36060834,4.951403188,6.7,1.7,35.88,327.8,0.33,4.18,,,
T,09:15:57,52.36062032,4.951415593,6.6,0.6,105.56,32.3,0.332,1.58,,,
T,09:16:07,52.36064681,4.951423891,6.2,1.1,55.54,10.8,0.335,3,,,
T,09:16:17,52.36069383,4.95141576,6.3,1.9,31.68,354,0.34,5.26,,,
T,09:16:23,52.36074823,4.951431854,6,3.7,16.26,10.2,0.346,6.15,,,
T,09:16:28,52.36079902,4.951460017,6.6,4.3,13.96,18.7,0.352,5.97,,,
T,09:16:32,52.36085434,4.951469069,5.9,5.6,10.78,5.7,0.358,6.19,,,
T,09:16:41,52.36095392,4.951492874,6.4,4.5,13.39,8.3,0.369,11.2,,,
T,09:16:45,52.36096742,4.951506034,5.9,1.6,38.12,30.8,0.371,1.75,,,
T,09:16:54,52.36099131,4.951605191,5.7,2.9,20.66,68.5,0.378,7.26,,,
T,09:17:08,52.36102534,4.951583734,5.3,1,57.48,338.9,0.382,4.06,,,
T,09:17:20,52.36105199,4.951566635,6,1,62.76,338.6,0.386,3.19,,,
T,09:17:28,52.36107102,4.951539226,5.5,1.3,47.23,318.7,0.388,2.82,,,
