type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,09:04:20,52.35853231,4.952012133,6.3,0.1,441.57,351.3,0,0.04,Cyan,Current Track: 15 APR 2021 09:20,
T,09:04:21,52.35853289,4.952010959,6.3,0.4,161.47,309.3,0.001,0.1,,,
T,09:04:22,52.3585334,4.952010037,6.2,0.3,198.1,311.8,0.001,0.08,,,
T,09:04:23,52.3585339,4.952008948,5.8,0.3,179.27,307.1,0.001,0.09,,,
T,09:04:24,52.35853423,4.952007774,6.2,0.3,188.93,295.1,0.001,0.09,,,
T,09:04:25,52.35853465,4.952007187,6.1,0.2,271.33,319.5,0.001,0.06,,,
T,09:04:26,52.35853516,4.952006768,6.2,0.2,265.25,333,0.001,0.06,,,
T,09:04:27,52.35853558,4.952006182,6.1,0.2,271.39,319.5,0.001,0.06,,,
T,09:04:28,52.35853574,4.952006349,6.5,0.1,761.84,31.4,0.001,0.02,,,
T,09:04:29,52.35853599,4.952005679,6.3,0.2,311.15,301.5,0.001,0.05,,,
T,09:04:30,52.35853574,4.952006182,5.9,0.2,376.81,129.3,0.001,0.04,,,
T,09:04:31,52.35853516,4.95200702,6,0.3,192.16,138.9,0.001,0.09,,,
T,09:04:32,52.35853541,4.952006014,6,0.3,225.18,292.3,0.001,0.07,,,
T,09:04:33,52.35853742,4.952002997,6,1.1,54.84,317.5,0.002,0.3,,,
T,09:04:34,52.35853843,4.952002829,6.2,0.4,148.15,354.2,0.002,0.11,,,
T,09:04:35,52.35853884,4.95200241,6,0.2,304.8,328.6,0.002,0.05,,,
T,09:04:36,52.3585396,4.952001739,5.9,0.3,174.39,331.5,0.002,0.1,,,
T,09:04:37,52.35853977,4.952002913,6.1,0.3,203.02,76.8,0.002,0.08,,,
T,09:04:38,52.35854027,4.952003332,6.1,0.2,265.3,27,0.002,0.06,,,
T,09:04:39,52.35854086,4.952003835,5.9,0.3,226.05,27.6,0.002,0.07,,,
T,09:04:40,52.35854136,4.952003751,5.8,0.2,296.24,354.2,0.002,0.06,,,
T,09:04:41,52.35854178,4.952003583,5.8,0.2,347.12,346.3,0.002,0.05,,,
T,09:04:42,52.35854186,4.952002997,6.2,0.1,406.07,283.2,0.002,0.04,,,
T,09:04:43,52.35854111,4.952003248,5.8,0.3,194.53,168.5,0.002,0.09,,,
T,09:04:44,52.3585396,4.952003248,6.2,0.6,99.28,180,0.002,0.17,,,
T,09:04:45,52.35853834,4.952002661,5.6,0.5,114.55,195.9,0.003,0.15,,,
T,09:04:46,52.35853734,4.952001572,6,0.5,124.09,213.5,0.003,0.13,,,
T,09:04:47,52.3585365,4.952000734,5.9,0.4,152.41,211.4,0.003,0.11,,,
T,09:04:48,52.35853507,4.952001153,6.1,0.6,103.45,169.8,0.003,0.16,,,
T,09:04:49,52.35853331,4.952002075,6,0.7,81.03,162.3,0.003,0.21,,,
T,09:04:50,52.35853155,4.952003667,6.3,0.8,74.44,151.1,0.003,0.22,,,
T,09:04:51,52.35853038,4.952005092,6.2,0.6,102.43,143.4,0.004,0.16,,,
T,09:04:52,52.35852962,4.95200702,5.8,0.6,106.93,122.7,0.004,0.16,,,
T,09:04:53,52.35852853,4.952008445,6.2,0.6,107.31,141.4,0.004,0.16,,,
T,09:04:54,52.3585277,4.952008948,6.1,0.4,167.73,159.9,0.004,0.1,,,
T,09:04:55,52.35852669,4.952010457,6,0.5,109.67,137.5,0.004,0.15,,,
T,09:04:56,52.35852669,4.952010876,6.2,0.1,583.72,90,0.004,0.03,,,
T,09:04:57,52.35852937,4.952011714,6,1.1,54.85,10.8,0.005,0.3,,,
T,09:04:58,52.35853398,4.952019257,6.2,2.6,22.95,45,0.005,0.73,,,
T,09:04:59,52.3585401,4.952028645,6.4,3.4,17.84,43.1,0.006,0.93,,,
T,09:05:00,52.35855058,4.95204038,6.2,5.1,11.79,34.4,0.008,1.41,,,
T,09:05:01,52.35856189,4.952052282,6.3,5.4,11.13,32.7,0.009,1.5,,,
T,09:05:02,52.35856902,4.952061586,6.5,3.7,16.42,38.6,0.01,1.02,,,
T,09:05:03,52.35857631,4.952070974,6.1,3.7,16.13,38.2,0.011,1.03,,,
T,09:05:04,52.35858419,4.952077428,6.6,3.5,16.99,26.6,0.012,0.98,,,
T,09:05:05,52.35859023,4.952076673,6.2,2.4,24.75,355.6,0.013,0.67,,,
T,09:05:06,52.35859299,4.952067705,5.7,2.5,24.36,296.8,0.013,0.68,,,
T,09:05:07,52.35859609,4.952065274,5.3,1.4,43.54,334.4,0.014,0.38,,,
T,09:05:08,52.35859861,4.952067872,5.8,1.2,50.34,32.3,0.014,0.33,,,
T,09:05:09,52.35860179,4.952066699,5.3,1.3,45.87,347.3,0.015,0.36,,,
T,09:05:10,52.35859945,4.952067872,5.6,1,61.02,163,0.015,0.27,,,
T,09:05:11,52.35860053,4.952069214,6,0.5,109.78,36.9,0.015,0.15,,,
T,09:05:12,52.35860263,4.952070471,6,0.9,67.09,20.1,0.015,0.25,,,
T,09:05:13,52.35860498,4.952071728,5.5,1,60.64,18.1,0.016,0.27,,,
