latitude,longitude,name,groupuni
52.359539,4.948297,T004,4d
52.360033,4.94813,T006,2b
52.3610525,4.948158817,T012,1
52.361237,4.948663,T015,3b
52.361766,4.948806,T018,1
52.361961,4.949394,T021,2b
52.361245,4.948956,T027,4d
52.361714,4.949936,T030,1
52.36153144,4.94974874,T031,2b
52.36151,4.950674,T035,3b
52.361419,4.950917,T037,4d
52.360867,4.9505,T044,3b
52.360656,4.951097,T048,4d
52.360782,4.951335,T056,3b
52.360943,4.951352,T058,4d
52.360679,4.951471,T061,1
52.359501,4.952678,T073,2b
52.359268,4.952588,T075,1
52.358883,4.949587,T089,1
52.358931,4.948384,T094,3b
52.358618,4.948512,T099,2b
52.358577,4.949713,T108,2b
52.35841,4.950218,T112,1
52.358571,4.950453,T114,2b
52.358464,4.951393,T122,4d
52.358437,4.951674,T124,3b
52.358672,4.95204,T128,4d
52.358772,4.952522,T133,3b
52.358701,4.952544,T135,4d
52.359792,4.952399,T138,2b
52.359825,4.952364,T140,1
52.361077,4.951539,T149,3b
52.361308,4.951208,T153,4d
52.361613,4.950132,T155,2b
52.361648,4.949988,T156,1
52.361193,4.948267,T169,1
52.359574,4.948138,T184,2b
52.359478,4.948727,T187,3b
52.359178,4.948227,T189,4d
52.359166,4.948757,T203,3b
