locations,GPSA_Timestamp,GPSB_Timestamp
T076,13:45:37,13:45:37
T075,13:46:05,13:46:05
T074,13:46:49,13:46:49
T073,13:47:40,13:47:40
T140,13:50:39,13:50:39
T138,13:51:01,13:51:01
T139,13:51:12,13:51:12
T155,13:59:41,13:59:41
T156,14:00:31,14:00:31
T030,14:01:08,14:01:08
T031,14:02:25,14:02:25
T021,14:03:32,14:03:32
Nieuwe boom,14:04:47,14:04:47
T018,14:06:19,14:06:19
T163,14:06:53,14:06:53
T012,14:08:51,14:08:51
T171,14:09:40,14:09:40
T174,14:11:24,14:11:24
T176,14:12:00,14:12:00
T178,14:12:28,14:12:24
