type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:43:01,52.35819569,4.952155463,-3.9,2.2,27.31,9.6,0,4.88,Blue,Current Track: 15 APR 2021 15:32,
T,13:43:11,52.35821924,4.952165438,-3.6,1,61.56,14.5,0.003,2.71,,,
T,13:43:21,52.35830373,4.952117996,-3.6,3.6,16.76,341.1,0.013,9.94,,,
T,13:43:29,52.35835679,4.952073991,-3.5,3,20.14,333.1,0.02,6.62,,,
T,13:43:36,52.35839048,4.952033591,-4,2.4,25.08,323.8,0.024,4.65,,,
T,13:43:43,52.35839937,4.951988244,-4.3,1.7,35.97,287.8,0.027,3.24,,,
T,13:43:51,52.35843323,4.951918004,-4.3,2.7,21.89,308.3,0.034,6.09,,,
T,13:43:59,52.35847598,4.951894199,-4,2.3,26.53,341.2,0.039,5.03,,,
T,13:44:07,52.35852954,4.951914148,-4.1,2.8,21.81,12.8,0.045,6.11,,,
T,13:44:16,52.35857531,4.952000147,-4,3.1,19.32,48.9,0.052,7.76,,,
T,13:44:26,52.35862417,4.952134509,-3.8,3.8,15.65,59.2,0.063,10.65,,,
T,13:44:32,52.35865762,4.952171892,-3.7,2.7,22.18,34.3,0.068,4.51,,,
T,13:44:43,52.35874169,4.952274403,-3.5,3.8,15.7,36.7,0.079,11.67,,,
T,13:44:52,52.35883137,4.952332825,-3.5,4.3,13.96,21.7,0.09,10.74,,,
T,13:44:59,52.35887613,4.952365933,-3.4,2.8,21.34,24.3,0.096,5.47,,,
T,13:45:08,52.35896749,4.952439526,-3.6,4.5,13.23,26.2,0.107,11.34,,,
T,13:45:11,52.35899834,4.952473976,-3.2,5,12.03,34.3,0.111,4.16,,,
T,13:45:22,52.35911577,4.952551173,-3.6,4.6,13.02,21.9,0.125,14.09,,,
T,13:45:27,52.35914854,4.952602219,-3.3,3.6,16.54,43.6,0.13,5.04,,,
T,13:45:37,52.35916883,4.952642452,-3.3,1.3,46.94,50.5,0.134,3.55,,,
T,13:45:45,52.35918568,4.952611942,-3.5,1.3,47.63,312.1,0.136,2.8,,,
T,13:45:54,52.35921099,4.952594591,-3.5,1.2,49.1,337.3,0.14,3.05,,,
T,13:46:05,52.35920311,4.952615295,-3.4,0.5,110.39,121.9,0.141,1.66,,,
T,13:46:17,52.35920018,4.952608673,-3.3,0.2,359.17,234,0.142,0.56,,,
T,13:46:23,52.35922624,4.952623257,-3.4,1.8,32.61,18.9,0.145,3.07,,,
T,13:46:29,52.35925407,4.95257129,-3.6,2.8,21.26,311.2,0.15,4.7,,,
T,13:46:39,52.35927151,4.952558382,-3.8,0.8,78.25,335.7,0.152,2.13,,,
T,13:46:49,52.35928752,4.952577744,-3.2,0.8,75.19,36.4,0.154,2.22,,,
T,13:46:58,52.35928115,4.95258688,-3.1,0.4,159.01,138.8,0.155,0.94,,,
T,13:47:07,52.35933504,4.952562572,-3,2.5,24.11,344.6,0.161,6.22,,,
T,13:47:16,52.35936019,4.952580174,-2.8,1.2,49.27,23.1,0.164,3.04,,,
T,13:47:25,52.35937083,4.95258336,-3.4,0.5,124.56,10.4,0.165,1.2,,,
