type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,13:43:00,52.35817046,4.952196619,-7.4,1.6,38.39,331.8,0,0.43,Cyan,Current Track: 15 APR 2021 14:31,
T,13:43:01,52.35817633,4.952200307,-7.7,2.5,23.82,21,0.001,0.7,,,
T,13:43:02,52.3581811,4.952197205,-7.8,2.1,29.13,338.4,0.002,0.57,,,
T,13:43:03,52.35818479,4.952195277,-7.7,1.6,38.68,342.3,0.002,0.43,,,
T,13:43:04,52.35818479,4.952195445,-7.6,0,1458.77,90,0.002,0.01,,,
T,13:43:05,52.35818622,4.952200642,-7.8,1.4,42.96,65.8,0.003,0.39,,,
T,13:43:06,52.35818421,4.952205587,-7.5,1.5,41.2,123.7,0.003,0.4,,,
T,13:43:07,52.35818144,4.952205084,-7.7,1.1,53.82,186.3,0.003,0.31,,,
T,13:43:08,52.35818462,4.952209024,-7.7,1.6,37.49,37.1,0.004,0.44,,,
T,13:43:09,52.35818898,4.952207096,-7.8,1.8,33.17,344.9,0.004,0.5,,,
T,13:43:10,52.35819426,4.95220148,-8.1,2.5,23.77,327,0.005,0.7,,,
T,13:43:11,52.35820189,4.952199301,-7.5,3.1,19.34,350.1,0.006,0.86,,,
T,13:43:12,52.35820977,4.952194607,-7.6,3.4,17.86,340,0.007,0.93,,,
T,13:43:13,52.35821639,4.952188823,-7.7,3,19.95,331.9,0.007,0.84,,,
T,13:43:14,52.35822276,4.952184297,-8,2.8,21.56,336.5,0.008,0.77,,,
T,13:43:15,52.35823123,4.9521791,-7.6,3.6,16.56,339.4,0.009,1.01,,,
T,13:43:16,52.35823969,4.952172227,-7.6,3.8,15.84,333.6,0.01,1.05,,,
T,13:43:17,52.35824942,4.952165438,-7.5,4.2,14.16,336.9,0.012,1.18,,,
T,13:43:18,52.35825864,4.952159151,-7.5,4,14.99,337.4,0.013,1.11,,,
T,13:43:19,52.35826685,4.952153368,-7.5,3.6,16.74,336.7,0.014,1,,,
T,13:43:20,52.35827121,4.952146076,-7.6,2.5,24.01,314.4,0.014,0.69,,,
T,13:43:21,52.35827532,4.952139035,-8,2.4,25.16,313.7,0.015,0.66,,,
T,13:43:22,52.35828051,4.952131323,-7.7,2.8,21.33,317.8,0.016,0.78,,,
T,13:43:23,52.3582889,4.952127133,-7.8,3.5,17.09,343,0.017,0.98,,,
T,13:43:24,52.35829577,4.952115733,-7.7,3.9,15.29,314.6,0.018,1.09,,,
T,13:43:25,52.35830423,4.952110285,-7.7,3.6,16.46,338.5,0.019,1.01,,,
T,13:43:26,52.35830884,4.952105675,-7.7,2.2,27.71,328.6,0.019,0.6,,,
T,13:43:27,52.35831874,4.95210249,-7.5,4,14.86,348.9,0.021,1.12,,,
T,13:43:28,52.35832611,4.952104166,-8,3,20.11,7.9,0.021,0.83,,,
T,13:43:29,52.35833013,4.952102909,-7.9,1.6,36.56,349.2,0.022,0.46,,,
T,13:43:30,52.35833525,4.952098383,-8.2,2.3,25.75,331.6,0.022,0.65,,,
T,13:43:31,52.35833944,4.952090085,-8.1,2.6,22.74,309.6,0.023,0.73,,,
T,13:43:32,52.35834262,4.952080362,-8.3,2.7,22.18,298.2,0.024,0.75,,,
T,13:43:33,52.35834547,4.952077176,-8.3,1.4,43.37,325.7,0.024,0.38,,,
T,13:43:34,52.35835377,4.952072147,-8.1,3.5,16.92,339.7,0.025,0.98,,,
T,13:43:35,52.3583609,4.952067956,-8,3,19.78,340.2,0.026,0.84,,,
T,13:43:36,52.3583707,4.952070555,-7.6,4,15.08,9.2,0.027,1.11,,,
T,13:43:37,52.35838017,4.952070555,-8.3,3.8,15.81,0,0.028,1.05,,,
T,13:43:38,52.35838453,4.952069968,-8.1,1.8,34.25,355.3,0.029,0.49,,,
T,13:43:39,52.35838504,4.952069214,-8.2,0.3,219.35,317.5,0.029,0.08,,,
T,13:43:40,52.35838554,4.952065945,-7.8,0.8,72.58,284.1,0.029,0.23,,,
T,13:43:41,52.35838755,4.952054797,-7.8,2.9,21.05,286.5,0.03,0.79,,,
T,13:43:42,52.35839124,4.952038452,-7.8,4.3,14.04,290.3,0.031,1.19,,,
T,13:43:43,52.35839417,4.952026466,-8.1,3.2,18.95,291.8,0.032,0.88,,,
T,13:43:44,52.35839744,4.952012468,-8.1,3.7,16.33,290.9,0.033,1.02,,,
T,13:43:45,52.35840063,4.95200417,-7.8,2.4,24.98,302.1,0.034,0.67,,,
T,13:43:46,52.35840616,4.951994196,-8.1,3.3,18.18,312.2,0.035,0.92,,,
T,13:43:47,52.35841211,4.951987658,-8.2,2.9,20.88,326.1,0.035,0.8,,,
T,13:43:48,52.35841781,4.951980701,-7.7,2.9,21.05,323.3,0.036,0.79,,,
T,13:43:49,52.35842024,4.951971481,-7.6,2.5,24.37,293.3,0.037,0.68,,,
T,13:43:50,52.35842343,4.951966284,-7.5,1.8,33.27,315.1,0.037,0.5,,,
T,13:43:51,52.3584282,4.951962428,-7.7,2.1,28.11,333.8,0.038,0.59,,,
T,13:43:52,52.35843449,4.951956477,-7.8,2.9,20.61,330,0.039,0.81,,,
T,13:43:53,52.35843935,4.951947676,-7.9,2.9,20.64,312.1,0.04,0.81,,,
T,13:43:54,52.35844589,4.951939294,-7.8,3.3,18.02,321.9,0.04,0.92,,,
T,13:43:55,52.35845159,4.951934181,-7.8,2.6,23.03,331.3,0.041,0.72,,,
T,13:43:56,52.35845494,4.951931164,-7.4,1.5,39.13,331.2,0.042,0.43,,,
T,13:43:57,52.35845855,4.951925632,-7.7,2,30.28,316.9,0.042,0.55,,,
T,13:43:58,52.35846433,4.951918675,-7.5,2.9,20.85,323.7,0.043,0.8,,,
T,13:43:59,52.35846844,4.951923033,-8.2,2,30.58,32.9,0.044,0.55,,,
T,13:44:00,52.35847263,4.951921357,-8.1,1.7,34.71,346.3,0.044,0.48,,,
T,13:44:01,52.35847724,4.951921944,-7.7,1.9,32.39,4.4,0.045,0.51,,,
T,13:44:02,52.35848143,4.951929404,-7.8,2.5,24.16,47.4,0.045,0.69,,,
T,13:44:03,52.35848788,4.951932002,-7.9,2.7,22.53,13.8,0.046,0.74,,,
T,13:44:04,52.35849509,4.95192999,-7.8,2.9,20.48,350.3,0.047,0.81,,,
T,13:44:05,52.35850515,4.951937366,-8.1,4.4,13.58,24.1,0.048,1.23,,,
T,13:44:06,52.35851688,4.951936193,-7.9,4.7,12.74,356.5,0.049,1.31,,,
T,13:44:07,52.35852527,4.951943569,-7.3,3.8,15.73,28.3,0.05,1.06,,,
T,13:44:08,52.35853172,4.951952873,-7.6,3.4,17.4,41.4,0.051,0.96,,,
T,13:44:09,52.35853692,4.951965949,-7.8,3.8,15.69,56.9,0.052,1.06,,,
T,13:44:10,52.3585432,4.951979108,-7.7,4.1,14.66,52,0.054,1.14,,,
T,13:44:11,52.35854832,4.951981706,-7.8,2.1,27.97,17.2,0.054,0.6,,,
T,13:44:12,52.35855536,4.951984556,-7.8,2.9,20.65,13.9,0.055,0.81,,,
T,13:44:13,52.3585608,4.951995201,-7.3,3.4,17.63,50,0.056,0.95,,,
T,13:44:14,52.35856449,4.95200811,-7.4,3.5,17.17,64.9,0.057,0.97,,,
T,13:44:15,52.35856785,4.952021437,-7.8,3.5,16.98,67.6,0.058,0.98,,,
T,13:44:16,52.35856986,4.952033926,-7.7,3.2,18.94,75.2,0.059,0.88,,,
T,13:44:17,52.35857757,4.952039123,-8.1,3.3,17.95,22.4,0.06,0.93,,,
T,13:44:18,52.35858285,4.952047169,-7.6,2.9,20.74,42.9,0.06,0.8,,,
T,13:44:19,52.35858536,4.952057395,-7.7,2.7,22.2,68.1,0.061,0.75,,,
T,13:44:20,52.35859207,4.952066531,-7.4,3.5,17.15,39.8,0.062,0.97,,,
T,13:44:21,52.35859651,4.952080362,-7.6,3.8,15.66,62.3,0.063,1.06,,,
