latitude,longitude,name,groupclust
52.361111,4.94833,T012,1
52.361766,4.948806,T018,1
52.361714,4.949936,T030,1
52.360679,4.951471,T061,1
52.359268,4.952588,T075,1
52.358883,4.949587,T089,1
52.35841,4.950218,T112,1
52.359825,4.952364,T140,1
52.361648,4.949988,T156,1
52.361193,4.948267,T169,1
52.359792,4.952399,T138,2b
52.359501,4.952678,T073,2b
52.358571,4.950453,T114,2b
52.358577,4.949713,T108,2b
52.358618,4.948512,T099,2b
52.359574,4.948138,T184,2b
52.360033,4.94813,T006,2b
52.361613,4.950132,T155,2b
52.36174696,4.949770823,T031,2b
52.361961,4.949394,T021,2b
52.36009,4.948132,T007,3b
52.361312,4.949752,T025,3b
52.359546,4.952013,T068,3b
52.359132,4.952473,T077,3b
52.358714,4.949672,T109,3b
52.358708,4.950337,T115,3b
52.359783,4.952448,T139,3b
52.361731,4.948731,T163,3b
52.360219,4.947998,T176,3b
52.360113,4.947982,T178,3b
52.359248,4.952667,T076,4d
52.359361,4.952553,T074,4d
52.359848,4.951894,T064,4d
52.358466,4.950357,T113,4d
52.358811,4.950218,T116,4d
52.36038,4.94818,T174,4d
52.359741,4.948029,T005,4d
52.361064,4.948203,T171,4d
52.362022,4.948888,T159,4d
52.36208221,4.948902253,Nieuwe boom,4d
