locations,GPSA_Timestamp,GPSB_Timestamp,,,,
T075,08:32:08,08:32:08,,,,
T053,08:35:45,08:35:45,,,,
T061,08:37:29,08:37:29,,,,
T145,08:38:13,08:38:13,,,,
T154,08:41:10,08:41:10,,,,
T040,08:42:11,08:42:11,,,,
T156,08:44:36,08:44:36,,,,
T030,08:45:28,08:45:28,,,,
T022,08:48:19,08:48:19,,,,
T018,08:50:33,08:50:33,,,,
T014,08:52:59,08:52:59,,,,
T170,08:53:59,08:53:59,,,,
T012,08:54:53,08:54:53,,,,
T181,08:58:54,08:58:54,,,,
T183,09:00:21,09:00:21,,,,
T001,09:02:38,09:02:38,,,,
T104,09:04:55,09:04:55,,,,
T105,09:05:49,09:05:49,,,,
T089,09:07:15,09:07:15,,,,
T112,09:08:15,09:08:11,,,,
