type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,08:29:33,52.35830884,4.952177592,6.8,2.5,23.72,330.3,0,5.62,Blue,Current Track: 16 APR 2021 10:22,
T,08:29:42,52.35835235,4.952113721,6,2.6,23.05,318.1,0.006,6.51,,,
T,08:29:51,52.35838629,4.952016156,6.3,3.1,19.62,299.7,0.014,7.65,,,
T,08:30:00,52.35845259,4.951967457,5.8,3.2,18.54,335.8,0.022,8.09,,,
T,08:30:09,52.35849869,4.951978354,6.2,2.1,28.94,8.2,0.027,5.18,,,
T,08:30:16,52.35853734,4.951992855,6.2,2.3,26.44,12.9,0.032,4.41,,,
T,08:30:25,52.35856986,4.952041553,6.4,2,30.55,42.4,0.037,4.91,,,
T,08:30:34,52.35860221,4.952087067,5.8,1.9,31.57,40.7,0.041,4.75,,,
T,08:30:42,52.35863976,4.952123947,5.9,2.2,27.35,31,0.046,4.88,,,
T,08:30:50,52.35869098,4.95217206,6.4,3,20.28,29.8,0.053,6.57,,,
T,08:30:59,52.35876675,4.952215813,6.3,3.6,16.77,19.4,0.062,8.94,,,
T,08:31:05,52.35882173,4.952288903,5.8,4.7,12.68,39.1,0.07,7.89,,,
T,08:31:06,52.35883221,4.952295273,6.2,4.5,13.4,20.4,0.071,1.24,,,
T,08:31:14,52.35891745,4.952372387,6.2,4.9,12.3,28.9,0.082,10.84,,,
T,08:31:23,52.35899205,4.952502642,7,4.9,12.34,46.8,0.094,12.15,,,
T,08:31:25,52.35901184,4.952519238,6.8,4.5,13.47,27.1,0.096,2.47,,,
T,08:31:35,52.3591058,4.952611104,6.8,4.4,13.68,30.8,0.109,12.19,,,
T,08:31:44,52.35916145,4.952664496,6.9,2.9,20.88,30.4,0.116,7.18,,,
T,08:31:53,52.35917922,4.952675896,6.9,0.8,70.61,21.4,0.118,2.12,,,
T,08:32:08,52.35918685,4.952684781,7.3,0.3,239.81,35.4,0.119,1.04,,,
