type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),color,name,desc
T,08:29:29,52.35830474,4.952112464,3.4,3.2,18.65,341.8,0,0.89,Cyan,Current Track: 16 APR 2021 09:22,
T,08:29:30,52.35831052,4.9521071,2.5,2.7,22.52,330.5,0.001,0.74,,,
T,08:29:31,52.35831806,4.952101316,2.5,3.3,17.97,334.9,0.002,0.93,,,
T,08:29:32,52.35832402,4.95209788,2.5,2.5,23.73,340.6,0.002,0.7,,,
T,08:29:33,52.35833072,4.95209218,3,3,19.81,332.6,0.003,0.84,,,
T,08:29:34,52.3583355,4.952091761,2.9,1.9,31.3,356.9,0.004,0.53,,,
T,08:29:35,52.35833935,4.952093018,2.8,1.6,38.09,11.3,0.004,0.44,,,
T,08:29:36,52.35834262,4.952095114,3,1.4,42.65,21.4,0.005,0.39,,,
T,08:29:37,52.35834732,4.95209109,2.9,2.1,28.26,332.4,0.005,0.59,,,
T,08:29:38,52.3583552,4.952082708,3.4,3.8,15.93,327,0.006,1.05,,,
T,08:29:39,52.3583593,4.952074327,3,2.6,22.79,308.7,0.007,0.73,,,
T,08:29:40,52.35836693,4.952064017,3.5,4,15.13,320.5,0.008,1.1,,,
T,08:29:41,52.35837255,4.952054294,3,3.3,18.3,313.4,0.009,0.91,,,
T,08:29:42,52.35837431,4.952050857,3.2,1.1,54.6,310,0.009,0.31,,,
T,08:29:43,52.35837531,4.952043649,3.1,1.8,33.09,282.9,0.01,0.5,,,
T,08:29:44,52.35837582,4.952036943,3.1,1.7,36.21,277,0.01,0.46,,,
T,08:29:45,52.35837825,4.952025209,3.2,3,19.75,288.7,0.011,0.84,,,
T,08:29:46,52.35837883,4.952011881,3.2,3.3,18.31,274.1,0.012,0.91,,,
T,08:29:47,52.35838437,4.952000147,3.3,3.6,16.52,307.7,0.013,1.01,,,
T,08:29:48,52.35838353,4.95199143,2.4,2.2,27.72,261.1,0.014,0.6,,,
T,08:29:49,52.35839074,4.951976677,3.3,4.6,12.96,308.7,0.015,1.29,,,
T,08:29:50,52.35839861,4.951963266,3,4.6,13.16,313.9,0.016,1.27,,,
T,08:29:51,52.35840599,4.951948514,3.2,4.7,12.84,309.3,0.017,1.3,,,
T,08:29:52,52.35841664,4.951932924,2.8,5.7,10.48,318.2,0.019,1.59,,,
T,08:29:53,52.35842586,4.951920351,3.1,4.8,12.47,320.2,0.02,1.34,,,
T,08:29:54,52.35843835,4.951914065,3,5.2,11.46,342.9,0.022,1.45,,,
T,08:29:55,52.35844421,4.951918591,3.1,2.6,23.08,25.2,0.023,0.72,,,
T,08:29:56,52.35845293,4.951917836,3.2,3.5,17.16,357,0.024,0.97,,,
T,08:29:57,52.35846332,4.951915741,3,4.2,14.3,353,0.025,1.17,,,
T,08:29:58,52.35847372,4.951909706,2.8,4.4,13.58,340.5,0.026,1.23,,,
T,08:29:59,52.35848285,4.951906186,3.3,3.8,15.96,346.8,0.027,1.04,,,
T,08:30:00,52.35848998,4.951902749,2.5,3,20.16,343.6,0.028,0.83,,,
T,08:30:01,52.35849853,4.95189948,3.1,3.5,17.06,346.9,0.029,0.98,,,
T,08:30:02,52.35850574,4.951900737,3.1,2.9,20.66,6.1,0.03,0.81,,,
T,08:30:03,52.35851001,4.951904258,3,1.9,31.29,26.7,0.03,0.53,,,
T,08:30:04,52.35851144,4.951908197,3,1.1,53.46,59.4,0.03,0.31,,,
T,08:30:05,52.3585163,4.951909874,2.3,2,30.15,11.9,0.031,0.55,,,
T,08:30:06,52.35852175,4.951914484,3,2.5,24.41,27.3,0.032,0.68,,,
T,08:30:07,52.35852937,4.951917669,2.7,3.2,19.02,14.3,0.033,0.88,,,
