latitude,longitude,name,groupuni
52.358678,4.947706,T001,3a
52.3610525,4.948158817,T012,1
52.361259,4.948502,T014,4e
52.361766,4.948806,T018,1
52.361809,4.949641,T022,2a
52.361497,4.949752,T024,2a
52.360967,4.948796,T028,3a
52.361714,4.949936,T030,1
52.361316,4.951009,T040,3a
52.360519,4.951298,T049,3a
52.360526,4.951509,T053,4e
52.360679,4.951471,T061,1
52.359268,4.952588,T075,1
52.359179,4.9522,T080,2a
52.359326,4.952038,T081,2a
52.359477,4.950839,T084,3a
52.359068,4.949984,T087,4e
52.358883,4.949587,T089,1
52.358988,4.948337,T095,4e
52.35849,4.949219,T104,2a
52.358563,4.949287,T105,2a
52.35841,4.950218,T112,1
52.358369,4.951124,T119,3a
52.358422,4.951437,T123,4e
52.358727,4.952206,T129,3a
52.359825,4.952364,T140,1
52.360735,4.951497,T145,3a
52.360991,4.951659,T150,4e
52.361293,4.951167,T154,3a
52.361648,4.949988,T156,1
52.361193,4.948267,T169,1
52.361166,4.948338,T170,2a
52.359884,4.947896,T181,2a
52.359597,4.948084,T183,2a
52.359263,4.948273,T188,4e
52.358971,4.94807,T194,3a
52.35851,4.948228,T199,2a
52.35929,4.948788,T204,4e
52.360001,4.950353,T209,4e
52.359911,4.948694,T212,4e
