locations,GPSA_Timestamp,GPSB_Timestamp
T112,14:19:11,14:19:11
T107,14:20:20,14:20:20
T105,14:21:09,14:21:09
T104,14:21:29,14:21:29
T103,14:22:20,14:22:20
T101,14:23:19,14:23:19
T183,14:28:44,14:28:44
T005,14:29:44,14:29:44
T180,14:30:29,14:30:29
T181,14:30:54,14:30:54
T012,14:34:23,14:34:23
T170,14:34:59,14:34:59
T169,14:35:30,14:35:30
T013,14:35:55,14:35:55
T018,14:37:39,14:37:39
T161,14:38:56,14:38:56
T157,14:40:03,14:40:03
T022,14:41:04,14:41:04
T030,14:41:42,14:41:42
T032,14:42:32,14:42:28
