type,time,latitude,longitude,altitude (m),speed (km/h),pace (min/km),course,distance (km),distance_interval (m),eos,color,name,desc
T,14:16:52,52.35836433,4.952089498,-10,3.3,18.31,330.8,0,8.19,,Blue,Current Track: 16 APR 2021 16:00,
T,14:17:04,52.35838621,4.952051863,-9.6,1.1,56.57,313.6,0.004,3.54,,,,
T,14:17:12,52.35840985,4.95199495,-9.6,2.1,28.46,304.2,0.008,4.69,,,,
T,14:17:15,52.35842628,4.951938791,-9.4,5.1,11.79,295.6,0.013,4.24,,,,
T,14:17:24,52.3584541,4.951789342,-9.4,4.3,14.09,287,0.023,10.64,,,,
T,14:17:33,52.35846835,4.951648945,-9.1,3.9,15.47,279.4,0.033,9.7,,,,
T,14:17:40,52.3584567,4.951548278,-8.9,3.6,16.72,259.3,0.04,6.98,,,,
T,14:17:51,52.35844329,4.951334205,-8.5,4.8,12.51,264.1,0.055,14.66,,,,
T,14:18:00,52.35843658,4.951148713,-9.5,5.1,11.85,266.6,0.067,12.66,,,,
T,14:18:09,52.35842309,4.950990127,-8.7,4.4,13.75,262.1,0.078,10.91,,,,
T,14:18:11,52.35842175,4.95096012,-8,3.7,16.26,265.8,0.08,2.05,,,,
T,14:18:21,52.35842644,4.950784184,-7.7,4.3,13.89,272.5,0.092,12,,,,
T,14:18:26,52.3584303,4.950686535,-9.5,4.8,12.5,273.7,0.099,6.67,,,,
T,14:18:34,52.35843776,4.950517975,-8.7,5.2,11.58,274.1,0.11,11.51,,,,
T,14:18:43,52.35844254,4.950370621,-8.7,4,14.92,273,0.12,10.05,,,,
T,14:18:49,52.35842871,4.950297028,-8.5,3.1,19.07,252.9,0.126,5.24,,,,
T,14:19:01,52.35843038,4.950274732,-9,0.5,130.69,277,0.127,1.53,,,,
T,14:19:11,52.35840415,4.950240534,-8.6,1.3,44.62,218.5,0.131,3.74,,,,
T,14:19:25,52.35840105,4.950218573,-8.8,0.4,151.97,257,0.132,1.54,,,,
