latitude,longitude,treeid,name,groupuni,groupclust,cluster,strategy,d1,d2,d3,d4,d5
52.358678,4.947706,1,T001,3a,,0,3a,1,1,0,0,0
52.358907,4.947552,2,T002,,,0,0,0,0,0,0,0
52.359251,4.94789,3,T003,4a,,0,4a,1,0,0,0,0
52.359539,4.948297,4,T004,4d,,0,4d,0,0,0,1,0
52.361259,4.948502,14,T014,4e,,0,4e,0,0,0,0,1
52.361237,4.948663,15,T015,3b,,0,3b,0,0,1,1,0
52.361401,4.948812,16,T016,,,0,0,0,0,0,0,0
52.361487,4.948942,17,T017,4c,,0,4c,0,0,1,0,0
52.361134,4.949014,26,T026,4b,,0,4b,0,1,0,0,0
52.361245,4.948956,27,T027,4d,,0,4d,0,0,0,1,0
52.360967,4.948796,28,T028,3a,,0,3a,1,1,0,0,0
52.360846,4.948705,29,T029,,,0,0,0,0,0,0,0
52.361579,4.950311,33,T033,4a,,0,4a,1,0,0,0,0
52.361542,4.950316,34,T034,4c,,0,4c,0,0,1,0,0
52.36151,4.950674,35,T035,3b,,0,3b,0,0,1,1,0
52.361457,4.950682,36,T036,,,0,0,0,0,0,0,0
52.361419,4.950917,37,T037,4d,,0,4d,0,0,0,1,0
52.36152,4.95099,38,T038,4b,,0,4b,0,1,0,0,0
52.361324,4.951052,39,T039,,,0,0,0,0,0,0,0
52.361316,4.951009,40,T040,3a,,0,3a,1,1,0,0,0
52.361176,4.950853,41,T041,,,0,0,0,0,0,0,0
52.361071,4.950847,42,T042,4a,,0,4a,1,0,0,0,0
52.360989,4.950587,43,T043,4c,,0,4c,0,0,1,0,0
52.360867,4.9505,44,T044,3b,,0,3b,0,0,1,1,0
52.360735,4.950672,45,T045,,,0,0,0,0,0,0,0
52.360573,4.950731,46,T046,,,0,0,0,0,0,0,0
52.360758,4.950999,47,T047,4b,,0,4b,0,1,0,0,0
52.360656,4.951097,48,T048,4d,,0,4d,0,0,0,1,0
52.360519,4.951298,49,T049,3a,,0,3a,1,1,0,0,0
52.36036,4.950822,50,T050,,,0,0,0,0,0,0,0
52.359962,4.950906,51,T051,4c,,0,4c,0,0,1,0,0
52.360179,4.95113,52,T052,4a,,0,4a,1,0,0,0,0
52.360526,4.951509,53,T053,4e,,0,4e,0,0,0,0,1
52.360617,4.951344,54,T054,,,0,0,0,0,0,0,0
52.360725,4.951459,55,T055,,,0,0,0,0,0,0,0
52.360782,4.951335,56,T056,3b,,0,3b,0,0,1,1,0
52.360877,4.951338,57,T057,,,0,0,0,0,0,0,0
52.360943,4.951352,58,T058,4d,,0,4d,0,0,0,1,0
52.361052,4.951479,59,T059,4b,,0,4b,0,1,0,0,0
52.360812,4.951297,60,T060,,,0,0,0,0,0,0,0
52.359668,4.951412,82,T082,,,0,0,0,0,0,0,0
52.35962,4.951198,83,T083,4c,,0,4c,0,0,1,0,0
52.359477,4.950839,84,T084,3a,,0,3a,1,1,0,0,0
52.359298,4.950448,85,T085,,,0,0,0,0,0,0,0
52.359109,4.95048,86,T086,,,0,0,0,0,0,0,0
52.359068,4.949984,87,T087,4e,,0,4e,0,0,0,0,1
52.359004,4.949694,88,T088,4a,,0,4a,1,0,0,0,0
52.35918,4.949031,91,T091,,,0,0,0,0,0,0,0
52.359308,4.948752,92,T092,,,0,0,0,0,0,0,0
52.358851,4.948383,93,T093,,,0,0,0,0,0,0,0
52.358931,4.948384,94,T094,3b,,0,3b,0,0,1,1,0
52.358988,4.948337,95,T095,4e,,0,4e,0,0,0,0,1
52.359179,4.948293,96,T096,,,0,0,0,0,0,0,0
52.359295,4.948294,97,T097,,,0,0,0,0,0,0,0
52.359362,4.948459,98,T098,4b,,0,4b,0,1,0,0,0
52.358363,4.950628,117,T117,,,0,0,0,0,0,0,0
52.358367,4.950869,118,T118,,,0,0,0,0,0,0,0
52.358369,4.951124,119,T119,3a,,0,3a,1,1,0,0,0
52.358369,4.951256,120,T120,,,0,0,0,0,0,0,0
52.358385,4.951331,121,T121,4a,,0,4a,1,0,0,0,0
52.358464,4.951393,122,T122,4d,,0,4d,0,0,0,1,0
52.358422,4.951437,123,T123,4e,,0,4e,0,0,0,0,1
52.358437,4.951674,124,T124,3b,,0,3b,0,0,1,1,0
52.358505,4.951726,125,T125,,,0,0,0,0,0,0,0
52.35848,4.952014,126,T126,4c,,0,4c,0,0,1,0,0
52.358566,4.952018,127,T127,4b,,0,4b,0,1,0,0,0
52.358672,4.95204,128,T128,4d,,0,4d,0,0,0,1,0
52.358727,4.952206,129,T129,3a,,0,3a,1,1,0,0,0
52.35872,4.952316,130,T130,,,0,0,0,0,0,0,0
52.358794,4.952336,131,T131,4a,,0,4a,1,0,0,0,0
52.35881,4.952493,132,T132,4c,,0,4c,0,0,1,0,0
52.358772,4.952522,133,T133,3b,,0,3b,0,0,1,1,0
52.358745,4.95248,134,T134,,,0,0,0,0,0,0,0
52.358701,4.952544,135,T135,4d,,0,4d,0,0,0,1,0
52.358651,4.952512,136,T136,4b,,0,4b,0,1,0,0,0
52.358629,4.952576,137,T137,,,0,0,0,0,0,0,0
52.360735,4.951497,145,T145,3a,,0,3a,1,1,0,0,0
52.360746,4.951535,146,T146,,,0,0,0,0,0,0,0
52.360764,4.951597,147,T147,4a,,0,4a,1,0,0,0,0
52.360812,4.951506,148,T148,4c,,0,4c,0,0,1,0,0
52.361077,4.951539,149,T149,3b,,0,3b,0,0,1,1,0
52.360991,4.951659,150,T150,4e,,0,4e,0,0,0,0,1
52.361195,4.951448,151,T151,,,0,0,0,0,0,0,0
52.361297,4.951345,152,T152,4b,,0,4b,0,1,0,0,0
52.361308,4.951208,153,T153,4d,,0,4d,0,0,0,1,0
52.361293,4.951167,154,T154,3a,,0,3a,1,1,0,0,0
52.361647,4.94862,164,T164,,,0,0,0,0,0,0,0
52.361676,4.94836,165,T165,4c,,0,4c,0,0,1,0,0
52.361542,4.948347,166,T166,4a,,0,4a,1,0,0,0,0
52.361495,4.948379,167,T167,,,0,0,0,0,0,0,0
52.359584,4.948311,185,T185,,,0,0,0,0,0,0,0
52.359514,4.948357,186,T186,,,0,0,0,0,0,0,0
52.359478,4.948727,187,T187,3b,,0,3b,0,0,1,1,0
52.359263,4.948273,188,T188,4e,,0,4e,0,0,0,0,1
52.359178,4.948227,189,T189,4d,,0,4d,0,0,0,1,0
52.359072,4.948354,190,T190,4b,,0,4b,0,1,0,0,0
52.358986,4.948271,191,T191,,,0,0,0,0,0,0,0
52.35891,4.948179,192,T192,,,0,0,0,0,0,0,0
52.358953,4.94813,193,T193,4c,,0,4c,0,0,1,0,0
52.358971,4.94807,194,T194,3a,,0,3a,1,1,0,0,0
52.358958,4.947878,195,T195,,,0,0,0,0,0,0,0
52.358989,4.947517,196,T196,,,0,0,0,0,0,0,0
52.358946,4.947569,197,T197,,,0,0,0,0,0,0,0
52.358593,4.947768,198,T198,4a,,0,4a,1,0,0,0,0
52.358801,4.948407,200,T200,,,0,0,0,0,0,0,0
52.358887,4.948286,201,T201,,,0,0,0,0,0,0,0
52.359088,4.948769,202,T202,,,0,0,0,0,0,0,0
52.359166,4.948757,203,T203,3b,,0,3b,0,0,1,1,0
52.35929,4.948788,204,T204,4e,,0,4e,0,0,0,0,1
52.359304,4.949175,205,T205,,,0,0,0,0,0,0,0
52.359347,4.949072,206,T206,,,0,0,0,0,0,0,0
52.359448,4.94936,207,T207,4b,,0,4b,0,1,0,0,0
52.359767,4.94995,208,T208,,,0,0,0,0,0,0,0
52.360001,4.950353,209,T209,4e,,0,4e,0,0,0,0,1
52.359686,4.94903,210,T210,,,0,0,0,0,0,0,0
52.359774,4.948991,211,T211,,,0,0,0,0,0,0,0
52.359911,4.948694,212,T212,4e,,0,4e,0,0,0,0,1
52.360679,4.951471,61,T061,1,1,1,1,1,1,1,1,1
52.360023,4.952028,62,T062,,4e,1,4e,0,0,0,0,1
52.359888,4.951837,63,T063,,3a,1,3a,1,1,0,0,0
52.359848,4.951894,64,T064,,4d,1,4d,0,0,0,1,0
52.359709,4.951894,65,T065,,4b,1,4b,0,1,0,0,0
52.35965,4.951925,66,T066,,4a,1,4a,1,0,0,0,0
52.359609,4.952045,67,T067, ,4b,1,4b,0,1,0,0,0
52.359546,4.952013,68,T068, ,3b,1,3b,0,0,1,1,0
52.359597,4.9524,69,T069,,4a,1,4a,1,0,0,0,0
52.359509,4.952431,70,T070,,4b,1,4b,0,1,0,0,0
52.359557,4.952622,71,T071,,4e,1,4e,0,0,0,0,1
52.359556,4.95273,72,T072,,4c,1,4c,0,0,1,0,0
52.359501,4.952678,73,T073,2b,2b,1,2b,0,1,0,1,0
52.359361,4.952553,74,T074,,4d,1,4d,0,0,0,1,0
52.359268,4.952588,75,T075,1,1,1,1,1,1,1,1,1
52.359248,4.952667,76,T076,,4d,1,4d,0,0,0,1,0
52.359132,4.952473,77,T077,,3b,1,3b,0,0,1,1,0
52.359069,4.952401,78,T078,,4c,1,4c,0,0,1,0,0
52.359156,4.952335,79,T079,,3a,1,3a,1,1,0,0,0
52.359179,4.9522,80,T080,2a,2a,1,2a,1,0,1,0,1
52.359326,4.952038,81,T081,2a,2a,1,2a,1,0,1,0,1
52.359792,4.952399,138,T138,2b,2b,1,2b,0,1,0,1,0
52.359783,4.952448,139,T139,,3b,1,3b,0,0,1,1,0
52.359825,4.952364,140,T140,1,1,1,1,1,1,1,1,1
52.359819,4.952137,141,T141,,3a,1,3a,1,1,0,0,0
52.359883,4.952165,142,T142,,4c,1,4c,0,0,1,0,0
52.359897,4.95197,143,T143, ,4e,1,4e,0,0,0,0,1
52.35998,4.952082,144,T144, ,,1,0,0,0,0,0,0
52.358883,4.949587,89,T089,1,1,2,1,1,1,1,1,1
52.358872,4.949393,90,T090, ,4b,2,4b,0,1,0,0,0
52.358618,4.948512,99,T099,2b,2b,2,2b,0,1,0,1,0
52.358615,4.948601,100,T100,,4c,2,4c,0,0,1,0,0
52.358534,4.948697,101,T101,,4a,2,4a,1,0,0,0,0
52.358508,4.948859,102,T102,,4a,2,4a,1,0,0,0,0
52.358475,4.948994,103,T103,,3a,2,3a,1,1,0,0,0
52.35849,4.949219,104,T104,2a,2a,2,2a,1,0,1,0,1
52.358563,4.949287,105,T105,2a,2a,2,2a,1,0,1,0,1
52.358578,4.949506,106,T106,,4c,2,4c,0,0,1,0,0
52.358557,4.949622,107,T107,,3a,2,3a,1,1,0,0,0
52.358577,4.949713,108,T108,2b,2b,2,2b,0,1,0,1,0
52.358714,4.949672,109,T109,,3b,2,3b,0,0,1,1,0
52.358753,4.94976,110,T110,,4b,2,4b,0,1,0,0,0
52.358542,4.950116,111,T111,,4c,2,4c,0,0,1,0,0
52.35841,4.950218,112,T112,1,1,2,1,1,1,1,1,1
52.358466,4.950357,113,T113,,4d,2,4d,0,0,0,1,0
52.358571,4.950453,114,T114,2b,2b,2,2b,0,1,0,1,0
52.358708,4.950337,115,T115,,3b,2,3b,0,0,1,1,0
52.358811,4.950218,116,T116,,4d,2,4d,0,0,0,1,0
52.35851,4.948228,199,T199,2a,2a,2,2a,1,0,1,0,1
52.359741,4.948029,5,T005,,4d,3,4d,0,0,0,1,0
52.360033,4.94813,6,T006,2b,2b,3,2b,0,1,0,1,0
52.36009,4.948132,7,T007,,3b,3,3b,0,0,1,1,0
52.36059,4.948179,8,T008,,4b,3,4b,0,1,0,0,0
52.36075,4.948153,9,T009,,4c,3,4c,0,0,1,0,0
52.360775,4.948261,10,T010,,4c,3,4c,0,0,1,0,0
52.361104,4.948251,11,T011,,4b,3,4b,0,1,0,0,0
52.361111,4.94833,12,T012,1,1,3,1,1,1,1,1,1
52.361173,4.948251,13,T013,,3a,3,3a,1,1,0,0,0
52.361196,4.948293,168,T168,,4b,3,4b,0,1,0,0,0
52.361193,4.948267,169,T169,1,1,3,1,1,1,1,1,1
52.361166,4.948338,170,T170,2a,2a,3,2a,1,0,1,0,1
52.361064,4.948203,171,T171, ,4d,3,4d,0,0,0,1,0
52.361003,4.948183,172,T172,,4a,3,4a,1,0,0,0,0
52.36078,4.948294,173,T173,,4e,3,4e,0,0,0,0,1
52.36038,4.94818,174,T174,,4d,3,4d,0,0,0,1,0
52.360331,4.948146,175,T175,,3a,3,3a,1,1,0,0,0
52.360219,4.947998,176,T176,,3b,3,3b,0,0,1,1,0
52.360147,4.948148,177,T177,,4c,3,4c,0,0,1,0,0
52.360113,4.947982,178,T178,,3b,3,3b,0,0,1,1,0
52.360018,4.948134,179,T179,,4a,3,4a,1,0,0,0,0
52.359878,4.947994,180,T180,,3a,3,3a,1,1,0,0,0
52.359884,4.947896,181,T181,2a,2a,3,2a,1,0,1,0,1
52.359848,4.947902,182,T182,,4a,3,4a,1,0,0,0,0
52.359597,4.948084,183,T183,2a,2a,3,2a,1,0,1,0,1
52.359574,4.948138,184,T184,2b,2b,3,2b,0,1,0,1,0
52.361766,4.948806,18,T018,1,1,4,1,1,1,1,1,1
52.362055,4.949003,19,T019, ,4c,4,4c,0,0,1,0,0
52.362022,4.949242,20,T020,,4a,4,4a,1,0,0,0,0
52.361961,4.949394,21,T021,2b,2b,4,2b,0,1,0,1,0
52.361809,4.949641,22,T022,2a,2a,4,2a,1,0,1,0,1
52.361606,4.949773,23,T023,,4b,4,4b,0,1,0,0,0
52.361497,4.949752,24,T024,2a,2a,4,2a,1,0,1,0,1
52.361312,4.949752,25,T025,,3b,4,3b,0,0,1,1,0
52.361714,4.949936,30,T030,1,1,4,1,1,1,1,1,1
52.361641,4.949884,31,T031,2b,2b,4,2b,0,1,0,1,0
52.361687,4.950059,32,T032,,4b,4,4b,0,1,0,0,0
52.361613,4.950132,155,T155,2b,2b,4,2b,0,1,0,1,0
52.361648,4.949988,156,T156,1,1,4,1,1,1,1,1,1
52.361788,4.949547,157,T157,,3a,4,3a,1,1,0,0,0
52.362085,4.949189,158,T158,,4a,4,4a,1,0,0,0,0
52.362022,4.948888,159,T159, ,4d,4,4d,0,0,0,1,0
52.362187,4.948951,160,T160,,4c,4,4c,0,0,1,0,0
