"Monday","Tuesday","Wednesday","Thursday","Friday"
"1",0.81,1.32,0.76,0.96,0.99
"2",1.01,1.17,0.16,1.16,0.83
"3",1.08,0.74,0.69,1.08,0.93
"4",0.98,1.04,0.69,0.8,0.76
"5",0.72,0.78,1.4,0.97,1.17
"6",1.8,1.63,0.76,0.73,1
"7",1.44,0.6,0.69,0.37,1.31
"8",0.99,0.75,0.84,1.22,1.03
"9",0.82,0.84,0.87,0.98,0.93
"10",0.97,0.1,0.85,0.62,0.98
"11",0.9,0.55,1.05,1.95,0.89
"12",0.8,0.8,0.52,0.79,0.55
"13",0.57,1.03,0.28,0.79,1.34
"14",0.53,0.9,0.66,0.97,1.78
"15",0.93,0.58,0.98,1.65,0.92
"16",0.84,1.83,0.58,0.92,1.04
"17",2.43,1.24,1.01,0.68,0.73
"18",0.98,1.68,0.95,0.84,3.28
"19",0.83,1.73,1.46,0.56,0.78
"20",0.99,0.83,0.79,0.91,0.75
