"Monday","Tuesday","Wednesday","Thursday","Friday"
"1",1.69,1.08,2.17,0.37,0.86
"2",0.96,0.93,0.83,0.94,0.95
"3",1.08,0.99,1.12,0.76,1.15
"4",1.53,1.7,1,0.81,0.53
"5",1.18,0.38,1.02,3.92,1.13
"6",1.89,1.03,0.57,0.83,0.61
"7",3.29,1.05,0.87,0.92,0.86
"8",1.43,0.89,0.88,1.08,2.23
"9",1.37,0.85,1.13,0.93,1.27
"10",0.93,1.22,1.96,1.61,1.34
"11",1.06,1.59,0.68,1.25,1.06
"12",1.1,0.97,1.21,0.87,1.62
"13",0.97,1.95,1.21,1.37,1.38
"14",1.23,0.9,0.82,1.24,0.9
"15",6.98,2.56,0.99,2.42,0.95
"16",0.97,1.02,1.86,0.92,0.76
"17",0.85,0.77,0.95,1.02,0.95
"18",1.6,0.83,1.82,0.86,0.82
"19",1.24,4.45,0.74,1.18,0.74
"20",1.12,NA,0.88,0.79,0.84
